Autauga	 Alabama	58,805	594.44	Montgomery, AL Metropolitan Statistical Area
Baldwin	 Alabama	231,767	1589.78	Daphne-Fairhope-Foley, AL Metropolitan Statistical Area
Barbour	 Alabama	25,223	884.88	Eufaula, AL-GA Micropolitan Statistical Area
Bibb	 Alabama	22,293	622.58	Birmingham-Hoover, AL Metropolitan Statistical Area
Blount	 Alabama	59,134	644.78	Birmingham-Hoover, AL Metropolitan Statistical Area
Bullock	 Alabama	10,357	622.80	
Butler	 Alabama	19,051	776.83	
Calhoun	 Alabama	116,441	605.87	Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area
Chambers	 Alabama	34,772	596.53	LaGrange, GA-AL Micropolitan Statistical Area
Cherokee	 Alabama	24,971	553.70	
Chilton	 Alabama	45,014	692.85	Birmingham-Hoover, AL Metropolitan Statistical Area
Choctaw	 Alabama	12,665	913.50	
Clarke	 Alabama	23,087	1238.46	
Clay	 Alabama	14,236	603.96	
Cleburne	 Alabama	15,056	560.10	
Coffee	 Alabama	53,465	678.97	Enterprise, AL Micropolitan Statistical Area
Colbert	 Alabama	57,227	592.62	Florence-Muscle Shoals, AL Metropolitan Statistical Area
Conecuh	 Alabama	11,597	850.16	
Coosa	 Alabama	10,387	650.93	Alexander City, AL Micropolitan Statistical Area
Covington	 Alabama	37,570	1030.46	
Crenshaw	 Alabama	13,194	608.84	
Cullman	 Alabama	87,866	734.84	Cullman, AL Micropolitan Statistical Area
Dale	 Alabama	49,326	561.15	Ozark, AL Micropolitan Statistical Area
Dallas	 Alabama	38,462	978.69	Selma, AL Micropolitan Statistical Area
DeKalb	 Alabama	71,608	777.09	Fort Payne, AL Micropolitan Statistical Area
Elmore	 Alabama	87,977	618.48	Montgomery, AL Metropolitan Statistical Area
Escambia	 Alabama	36,757	945.08	
Etowah	 Alabama	103,436	534.99	Gadsden, AL Metropolitan Statistical Area
Fayette	 Alabama	16,321	627.66	
Franklin	 Alabama	32,113	633.82	
Geneva	 Alabama	26,659	574.41	Dothan, AL Metropolitan Statistical Area
Greene	 Alabama	7,720	647.11	Tuscaloosa, AL Metropolitan Statistical Area
Hale	 Alabama	14,785	643.94	Tuscaloosa, AL Metropolitan Statistical Area
Henry	 Alabama	17,146	561.75	Dothan, AL Metropolitan Statistical Area
Houston	 Alabama	107,202	579.82	Dothan, AL Metropolitan Statistical Area
Jackson	 Alabama	52,579	1077.87	Scottsboro, AL Micropolitan Statistical Area
Jefferson	 Alabama	674,721	1111.28	Birmingham-Hoover, AL Metropolitan Statistical Area
Lamar	 Alabama	13,972	604.85	
Lauderdale	 Alabama	93,564	667.70	Florence-Muscle Shoals, AL Metropolitan Statistical Area
Lawrence	 Alabama	33,073	690.68	Decatur, AL Metropolitan Statistical Area
Lee	 Alabama	174,241	607.54	Auburn-Opelika, AL Metropolitan Statistical Area
Limestone	 Alabama	103,570	559.94	Huntsville, AL Metropolitan Statistical Area
Lowndes	 Alabama	10,311	715.91	Montgomery, AL Metropolitan Statistical Area
Macon	 Alabama	19,532	608.89	
Madison	 Alabama	388,153	801.59	Huntsville, AL Metropolitan Statistical Area
Marengo	 Alabama	19,323	976.88	
Marion	 Alabama	29,341	742.29	
Marshall	 Alabama	97,612	565.84	Albertville, AL Micropolitan Statistical Area
Mobile	 Alabama	414,809	1229.44	Mobile, AL Metropolitan Statistical Area
Monroe	 Alabama	19,772	1025.67	
Montgomery	 Alabama	228,954	784.25	Montgomery, AL Metropolitan Statistical Area
Morgan	 Alabama	123,421	579.34	Decatur, AL Metropolitan Statistical Area
Perry	 Alabama	8,511	719.66	
Pickens	 Alabama	19,123	881.41	Tuscaloosa, AL Metropolitan Statistical Area
Pike	 Alabama	33,009	672.09	Troy, AL Micropolitan Statistical Area
Randolph	 Alabama	21,967	580.55	
Russell	 Alabama	59,183	641.14	Columbus, GA-AL Metropolitan Statistical Area
Shelby	 Alabama	223,024	784.93	Birmingham-Hoover, AL Metropolitan Statistical Area
St. Clair	 Alabama	91,103	631.90	Birmingham-Hoover, AL Metropolitan Statistical Area
Sumter	 Alabama	12,345	903.89	
Talladega	 Alabama	82,149	736.78	Talladega-Sylacauga, AL Micropolitan Statistical Area
Tallapoosa	 Alabama	41,311	716.52	Alexander City, AL Micropolitan Statistical Area
Tuscaloosa	 Alabama	227,036	1321.75	Tuscaloosa, AL Metropolitan Statistical Area
Walker	 Alabama	65,342	791.19	Jasper, AL Micropolitan Statistical Area
Washington	 Alabama	15,388	1080.21	Mobile, AL Metropolitan Statistical Area
Wilcox	 Alabama	10,600	888.50	
Winston	 Alabama	23,540	612.98	
