Arkansas	 Arkansas	17,149	1033.79	
Ashley	 Arkansas	19,062	939.08	
Baxter	 Arkansas	41,627	586.74	Mountain Home, AR Micropolitan Statistical Area
Benton	 Arkansas	284,333	884.86	Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area
Boone	 Arkansas	37,373	601.82	Harrison, AR Micropolitan Statistical Area
Bradley	 Arkansas	10,545	654.38	
Calhoun	 Arkansas	4,739	632.54	Camden, AR Micropolitan Statistical Area
Carroll	 Arkansas	28,260	638.81	
Chicot	 Arkansas	10,208	690.88	
Clark	 Arkansas	21,446	882.60	Arkadelphia, AR Micropolitan Statistical Area
Clay	 Arkansas	14,552	641.12	
Cleburne	 Arkansas	24,711	591.91	
Cleveland	 Arkansas	7,550	598.80	Pine Bluff, AR Metropolitan Statistical Area
Columbia	 Arkansas	22,801	766.86	Magnolia, AR Micropolitan Statistical Area
Conway	 Arkansas	20,715	566.66	
Craighead	 Arkansas	111,231	712.98	Jonesboro, AR Metropolitan Statistical Area
Crawford	 Arkansas	60,133	604.20	Fort Smith, AR-OK Metropolitan Statistical Area
Crittenden	 Arkansas	48,163	636.74	Memphis, TN-MS-AR Metropolitan Statistical Area
Cross	 Arkansas	16,833	622.33	
Dallas	 Arkansas	6,482	668.16	
Desha	 Arkansas	11,395	819.52	
Drew	 Arkansas	17,350	835.65	
Faulkner	 Arkansas	123,498	664.01	Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area
Franklin	 Arkansas	17,097	619.69	Fort Smith, AR-OK Metropolitan Statistical Area
Fulton	 Arkansas	12,075	620.32	
Garland	 Arkansas	100,180	734.57	Hot Springs, AR Metropolitan Statistical Area
Grant	 Arkansas	17,958	633.01	Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area
Greene	 Arkansas	45,736	579.65	Paragould, AR Micropolitan Statistical Area
Hempstead	 Arkansas	20,065	741.36	Hope, AR Micropolitan Statistical Area
Hot Spring	 Arkansas	33,040	622.16	Malvern, AR Micropolitan Statistical Area
Howard	 Arkansas	12,785	595.20	
Independence	 Arkansas	37,938	771.57	Batesville, AR Micropolitan Statistical Area
Izard	 Arkansas	13,577	584.02	
Jackson	 Arkansas	16,755	641.45	
Jefferson	 Arkansas	67,260	913.70	Pine Bluff, AR Metropolitan Statistical Area
Johnson	 Arkansas	25,749	682.74	
Lafayette	 Arkansas	6,308	545.07	
Lawrence	 Arkansas	16,216	592.34	
Lee	 Arkansas	8,600	619.47	
Lincoln	 Arkansas	12,941	572.17	Pine Bluff, AR Metropolitan Statistical Area
Little River	 Arkansas	12,026	564.87	Texarkana, TX-AR Metropolitan Statistical Area
Logan	 Arkansas	21,131	731.50	
Lonoke	 Arkansas	74,015	802.43	Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area
Madison	 Arkansas	16,521	837.06	Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area
Marion	 Arkansas	16,826	640.39	
Miller	 Arkansas	42,600	637.48	Texarkana, TX-AR Metropolitan Statistical Area
Mississippi	 Arkansas	40,685	919.73	Blytheville, AR Micropolitan Statistical Area
Monroe	 Arkansas	6,799	621.41	
Montgomery	 Arkansas	8,484	800.29	
Nevada	 Arkansas	8,310	620.78	Hope, AR Micropolitan Statistical Area
Newton	 Arkansas	7,225	823.18	Harrison, AR Micropolitan Statistical Area
Ouachita	 Arkansas	22,650	739.63	Camden, AR Micropolitan Statistical Area
Perry	 Arkansas	10,019	560.47	Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area
Phillips	 Arkansas	16,568	727.29	Helena-West Helena, AR Micropolitan Statistical Area
Pike	 Arkansas	10,171	613.88	
Poinsett	 Arkansas	22,965	763.39	Jonesboro, AR Metropolitan Statistical Area
Polk	 Arkansas	19,221	862.42	
Pope	 Arkansas	63,381	830.79	Russellville, AR Micropolitan Statistical Area
Prairie	 Arkansas	8,282	675.76	
Pulaski	 Arkansas	399,125	807.84	Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area
Randolph	 Arkansas	18,571	656.04	
St. Francis	 Arkansas	23,090	642.40	Forrest City, AR Micropolitan Statistical Area
Saline	 Arkansas	123,416	730.46	Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area
Scott	 Arkansas	9,836	898.09	
Searcy	 Arkansas	7,828	668.51	
Sebastian	 Arkansas	127,799	546.04	Fort Smith, AR-OK Metropolitan Statistical Area
Sevier	 Arkansas	15,839	581.35	
Sharp	 Arkansas	17,271	606.35	Batesville, AR Micropolitan Statistical Area
Stone	 Arkansas	12,359	609.43	
Union	 Arkansas	39,054	1055.27	El Dorado, AR Micropolitan Statistical Area
Van Buren	 Arkansas	15,796	724.32	
Washington	 Arkansas	245,871	951.72	Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area
White	 Arkansas	76,822	1042.36	Searcy, AR Micropolitan Statistical Area
Woodruff	 Arkansas	6,269	594.05	
Yell	 Arkansas	20,263	948.84	Russellville, AR Micropolitan Statistical Area
