Alameda	 California	1,682,353	738	San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area
Alpine	 California	1,204	739	
Amador	 California	40,474	606	
Butte	 California	211,632	1640	Chico, CA Metropolitan Statistical Area
Calaveras	 California	45,292	1020	
Colusa	 California	21,839	1151	
Contra Costa	 California	1,165,927	720	San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area
Del Norte	 California	27,743	1008	Crescent City, CA Micropolitan Statistical Area
El Dorado	 California	191,185	1712	Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area
Fresno	 California	1,008,654	5963	Fresno, CA Metropolitan Statistical Area
Glenn	 California	28,917	1315	
Humboldt	 California	136,463	3573	Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area
Imperial	 California	179,702	4175	El Centro, CA Metropolitan Statistical Area
Inyo	 California	19,016	10192	
Kern	 California	909,235	8142	Bakersfield, CA Metropolitan Statistical Area
Kings	 California	152,486	1390	Hanford-Corcoran, CA Metropolitan Statistical Area
Lake	 California	68,163	1258	Clearlake, CA Micropolitan Statistical Area
Lassen	 California	32,730	4558	Susanville, CA Micropolitan Statistical Area
Los Angeles	 California	10,014,009	4060	Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area
Madera	 California	156,255	2138	Madera, CA Metropolitan Statistical Area
Marin	 California	262,321	520	San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area
Mariposa	 California	17,131	1451	
Mendocino	 California	91,601	3509	Ukiah, CA Micropolitan Statistical Area
Merced	 California	281,202	1929	Merced, CA Metropolitan Statistical Area
Modoc	 California	8,700	3944	
Mono	 California	13,195	3044	
Monterey	 California	404,739	3322	Salinas, CA Metropolitan Statistical Area
Napa	 California	138,019	754	Napa, CA Metropolitan Statistical Area
Nevada	 California	102,241	958	Truckee-Grass Valley, CA Micropolitan Statistical Area
Orange	 California	3,186,989	948	Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area
Placer	 California	404,739	1407	Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area
Plumas	 California	19,790	2554	
Riverside	 California	2,418,185	7208	Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area
Sacramento	 California	1,585,055	966	Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area
San Benito	 California	64,209	1389	San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area
San Bernardino	 California	2,181,654	20062	Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area
San Diego	 California	3,298,634	4204	San Diego-Carlsbad, CA Metropolitan Statistical Area
San Francisco	 California	873,965	47	San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area
San Joaquin	 California	779,233	1399	Stockton-Lodi, CA Metropolitan Statistical Area
San Luis Obispo	 California	282,424	3304	San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area
San Mateo	 California	764,442	449	San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area
Santa Barbara	 California	448,229	2738	Santa Maria-Santa Barbara, CA Metropolitan Statistical Area
Santa Clara	 California	1,936,259	1291	San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area
Santa Cruz	 California	270,861	446	Santa Cruz-Watsonville, CA Metropolitan Statistical Area
Shasta	 California	182,155	3786	Redding, CA Metropolitan Statistical Area
Sierra	 California	3,236	953	
Siskiyou	 California	44,076	6287	
Solano	 California	453,491	828	Vallejo-Fairfield, CA Metropolitan Statistical Area
Sonoma	 California	488,863	1576	Santa Rosa, CA Metropolitan Statistical Area
Stanislaus	 California	552,878	1495	Modesto, CA Metropolitan Statistical Area
Sutter	 California	99,633	603	Yuba City, CA Metropolitan Statistical Area
Tehama	 California	65,829	2951	Red Bluff, CA Micropolitan Statistical Area
Trinity	 California	16,112	3179	
Tulare	 California	473,117	4824	Visalia-Porterville, CA Metropolitan Statistical Area
Tuolumne	 California	55,620	2236	Sonora, CA Micropolitan Statistical Area
Ventura	 California	843,843	1846	Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area
Yolo	 California	216,403	1012	Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area
Yuba	 California	81,575	630	Yuba City, CA Metropolitan Statistical Area
