Adams	 Colorado	519,572	1182.29	Denver-Aurora-Lakewood, CO Metropolitan Statistical Area
Alamosa	 Colorado	16,376	723.21	
Arapahoe	 Colorado	655,070	804.41	Denver-Aurora-Lakewood, CO Metropolitan Statistical Area
Archuleta	 Colorado	13,359	1354.53	
Baca	 Colorado	3,506	2558.48	
Bent	 Colorado	5,650	1541.07	
Boulder	 Colorado	330,758	740.48	Boulder, CO Metropolitan Statistical Area
Broomfield, City and County of[l]	 Colorado	74,112	33.57	Denver-Aurora-Lakewood, CO Metropolitan Statistical Area
Chaffee	 Colorado	19,476	1014.12	
Cheyenne	 Colorado	1,748	1781.90	
Clear Creek	 Colorado	9,397	396.53	Denver-Aurora-Lakewood, CO Metropolitan Statistical Area
Conejos	 Colorado	7,461	1290.22	
Costilla	 Colorado	3,499	1229.38	
Crowley	 Colorado	5,922	800.27	
Custer	 Colorado	4,704	739.24	
Delta	 Colorado	31,196	1149.44	
Denver, City and County of[m]	 Colorado	715,522	155.66	Denver-Aurora-Lakewood, CO Metropolitan Statistical Area
Dolores	 Colorado	2,326	1076.93	
Douglas	 Colorado	357,978	842.30	Denver-Aurora-Lakewood, CO Metropolitan Statistical Area
Eagle	 Colorado	55,731	1700.76	Edwards, CO Micropolitan Statistical Area
Elbert	 Colorado	26,062	1849.08	Denver-Aurora-Lakewood, CO Metropolitan Statistical Area
El Paso	 Colorado	730,395	2128.60	Colorado Springs, CO Metropolitan Statistical Area
Fremont	 Colorado	48,939	1533.09	Cañon City, CO Micropolitan Statistical Area
Garfield	 Colorado	61,685	2958.23	Glenwood Springs, CO Micropolitan Statistical Area
Gilpin	 Colorado	5,808	150.15	Denver-Aurora-Lakewood, CO Metropolitan Statistical Area
Grand	 Colorado	15,717	1868.53	
Gunnison	 Colorado	16,918	3259.22	
Hinsdale	 Colorado	788	1123.35	
Huerfano	 Colorado	6,820	1592.37	
Jackson	 Colorado	1,379	1619.75	
Jefferson	 Colorado	582,910	772.85	Denver-Aurora-Lakewood, CO Metropolitan Statistical Area
Kiowa	 Colorado	1,446	1785.90	
Kit Carson	 Colorado	7,087	2162.43	
Lake	 Colorado	7,436	383.55	
La Plata	 Colorado	55,638	1700.44	Durango, CO Micropolitan Statistical Area
Larimer	 Colorado	359,066	2631.75	Fort Collins, CO Metropolitan Statistical Area
Las Animas	 Colorado	14,555	4773.27	
Lincoln	 Colorado	5,675	2585.21	
Logan	 Colorado	21,528	1845.31	Sterling, CO Micropolitan Statistical Area
Mesa	 Colorado	155,703	3345.69	Grand Junction, CO Metropolitan Statistical Area
Mineral	 Colorado	865	878.16	
Moffat	 Colorado	13,292	4755.86	Craig, CO Micropolitan Statistical Area
Montezuma	 Colorado	25,849	2035.80	
Montrose	 Colorado	42,679	2246.43	Montrose, CO Micropolitan Statistical Area
Morgan	 Colorado	29,111	1293.83	Fort Morgan, CO Micropolitan Statistical Area
Otero	 Colorado	18,690	1267.66	
Ouray	 Colorado	4,874	542.30	
Park	 Colorado	17,390	2209.36	Denver-Aurora-Lakewood, CO Metropolitan Statistical Area
Phillips	 Colorado	4,530	668.30	
Pitkin	 Colorado	17,358	970.37	Glenwood Springs, CO Micropolitan Statistical Area
Prowers	 Colorado	11,999	1645.37	
Pueblo	 Colorado	168,162	2396.77	Pueblo, CO Metropolitan Statistical Area
Rio Blanco	 Colorado	6,529	3226.24	
Rio Grande	 Colorado	11,539	913.10	
Routt	 Colorado	24,829	2362.11	Steamboat Springs, CO Micropolitan Statistical Area
Saguache	 Colorado	6,368	3168.32	
San Juan	 Colorado	705	388.99	
San Miguel	 Colorado	8,072	1290.76	
Sedgwick	 Colorado	2,404	548.83	
Summit	 Colorado	31,055	618.92	Breckenridge, CO Micropolitan Statistical Area
Teller	 Colorado	24,710	558.58	Colorado Springs, CO Metropolitan Statistical Area
Washington	 Colorado	4,817	2522.90	
Weld	 Colorado	328,981	4013.84	Greeley, CO Metropolitan Statistical Area
Yuma	 Colorado	9,988	2369.61	
