Alachua	 Florida	278,468	874	Gainesville, FL Metropolitan Statistical Area
Baker	 Florida	28,259	585	Jacksonville, FL Metropolitan Statistical Area
Bay	 Florida	175,216	764	Panama City, FL Metropolitan Statistical Area
Bradford	 Florida	28,203	293	
Brevard	 Florida	606,612	1018	Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area
Broward	 Florida	1,944,375	1209	Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area
Calhoun	 Florida	13,648	567	
Charlotte	 Florida	186,847	694	Punta Gorda, FL Metropolitan Statistical Area
Citrus	 Florida	153,843	584	Homosassa Springs, FL Metropolitan Statistical Area
Clay	 Florida	218,245	601	Jacksonville, FL Metropolitan Statistical Area
Collier	 Florida	375,752	2026	Naples-Marco Island, FL Metropolitan Statistical Area
Columbia	 Florida	69,698	797	Lake City, FL Micropolitan Statistical Area
DeSoto	 Florida	33,976	637	Arcadia, FL Micropolitan Statistical Area
Dixie	 Florida	16,759	704	
Duval	 Florida	995,567	774	Jacksonville, FL Metropolitan Statistical Area
Escambia	 Florida	321,905	664	Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area
Flagler	 Florida	115,378	485	Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area
Franklin	 Florida	12,451	534	
Gadsden	 Florida	43,826	516	Tallahassee, FL Metropolitan Statistical Area
Gilchrist	 Florida	17,864	349	Gainesville, FL Metropolitan Statistical Area
Glades	 Florida	12,126	774	
Gulf	 Florida	14,192	565	
Hamilton	 Florida	14,004	515	
Hardee	 Florida	25,327	637	Wauchula, FL Micropolitan Statistical Area
Hendry	 Florida	39,619	1153	Clewiston, FL Micropolitan Statistical Area
Hernando	 Florida	194,515	478	Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area
Highlands	 Florida	101,235	1028	Sebring, FL Metropolitan Statistical Area
Hillsborough	 Florida	1,459,762	1051	Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area
Holmes	 Florida	19,653	482	
Indian River	 Florida	159,788	503	Sebastian-Vero Beach, FL Metropolitan Statistical Area
Jackson	 Florida	47,319	916	
Jefferson	 Florida	14,510	598	Tallahassee, FL Metropolitan Statistical Area
Lafayette	 Florida	8,226	543	
Lake	 Florida	383,956	953	Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area
Lee	 Florida	760,822	804	Cape Coral-Fort Myers, FL Metropolitan Statistical Area
Leon	 Florida	292,198	667	Tallahassee, FL Metropolitan Statistical Area
Levy	 Florida	42,915	1118	Gainesville, FL Metropolitan Statistical Area
Liberty	 Florida	7,974	836	
Madison	 Florida	17,968	692	
Manatee	 Florida	399,710	741	North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area
Marion	 Florida	375,908	1579	Ocala, FL Metropolitan Statistical Area
Martin	 Florida	158,431	556	Port St. Lucie, FL Metropolitan Statistical Area
Miami-Dade	 Florida	2,701,767	1946	Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area
Monroe	 Florida	82,874	997	Key West, FL Micropolitan Statistical Area
Nassau	 Florida	90,352	652	Jacksonville, FL Metropolitan Statistical Area
Okaloosa	 Florida	211,668	936	Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area
Okeechobee	 Florida	39,644	774	Okeechobee, FL Micropolitan Statistical Area
Orange	 Florida	1,429,908	908	Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area
Osceola	 Florida	388,656	1322	Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area
Palm Beach	 Florida	1,492,191	2034	Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area
Pasco	 Florida	561,891	745	Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area
Pinellas	 Florida	959,107	280	Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area
Polk	 Florida	725,046	1875	Lakeland-Winter Haven, FL Metropolitan Statistical Area
Putnam	 Florida	73,321	722	Palatka, FL Micropolitan Statistical Area
St. Johns	 Florida	273,425	609	Jacksonville, FL Metropolitan Statistical Area
St. Lucie	 Florida	329,226	572	Port St. Lucie, FL Metropolitan Statistical Area
Santa Rosa	 Florida	188,000	1016	Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area
Sarasota	 Florida	434,006	572	North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area
Seminole	 Florida	470,856	308	Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area
Sumter	 Florida	129,752	546	The Villages, FL Metropolitan Statistical Area
Suwannee	 Florida	43,474	688	
Taylor	 Florida	21,796	1042	
Union	 Florida	16,147	240	
Volusia	 Florida	553,543	1106	Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area
Wakulla	 Florida	33,764	607	Tallahassee, FL Metropolitan Statistical Area
Walton	 Florida	75,305	1058	Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area
Washington	 Florida	25,318	580	
