Appling	Georgia (U.S. state) Georgia	18,444	509	
Atkinson	Georgia (U.S. state) Georgia	8,286	338	Douglas, GA Micropolitan Statistical Area
Bacon	Georgia (U.S. state) Georgia	11,140	285	
Baker	Georgia (U.S. state) Georgia	2,876	343	
Baldwin	Georgia (U.S. state) Georgia	43,799	258	Milledgeville, GA Micropolitan Statistical Area
Banks	Georgia (U.S. state) Georgia	18,035	234	
Barrow	Georgia (U.S. state) Georgia	83,505	162	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Bartow	Georgia (U.S. state) Georgia	108,901	460	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Ben Hill	Georgia (U.S. state) Georgia	17,194	252	Fitzgerald, GA Micropolitan Statistical Area
Berrien	Georgia (U.S. state) Georgia	18,160	452	
Bibb	Georgia (U.S. state) Georgia	157,346	250	Macon, GA Metropolitan Statistical Area
Bleckley	Georgia (U.S. state) Georgia	12,583	217	
Brantley	Georgia (U.S. state) Georgia	18,021	444	Brunswick, GA Metropolitan Statistical Area
Brooks	Georgia (U.S. state) Georgia	16,301	494	Valdosta, GA Metropolitan Statistical Area
Bryan	Georgia (U.S. state) Georgia	44,738	442	Savannah, GA Metropolitan Statistical Area
Bulloch	Georgia (U.S. state) Georgia	81,099	683	Statesboro, GA Micropolitan Statistical Area
Burke	Georgia (U.S. state) Georgia	24,596	831	Augusta-Richmond County, GA-SC Metropolitan Statistical Area
Butts	Georgia (U.S. state) Georgia	25,434	187	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Calhoun	Georgia (U.S. state) Georgia	5,573	280	
Camden	Georgia (U.S. state) Georgia	54,768	630	St. Marys, GA Micropolitan Statistical Area
Candler	Georgia (U.S. state) Georgia	10,981	247	
Carroll	Georgia (U.S. state) Georgia	119,148	499	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Catoosa	Georgia (U.S. state) Georgia	67,872	162	Chattanooga, TN-GA Metropolitan Statistical Area
Charlton	Georgia (U.S. state) Georgia	12,518	781	
Chatham	Georgia (U.S. state) Georgia	295,291	440	Savannah, GA Metropolitan Statistical Area
Chattahoochee	Georgia (U.S. state) Georgia	9,565	249	Columbus, GA-AL Metropolitan Statistical Area
Chattooga	Georgia (U.S. state) Georgia	24,965	314	Summerville, GA Micropolitan Statistical Area
Cherokee	Georgia (U.S. state) Georgia	266,620	424	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Clarke	Georgia (U.S. state) Georgia	128,671	121	Athens-Clarke County, GA Metropolitan Statistical Area
Clay	Georgia (U.S. state) Georgia	2,848	195	
Clayton	Georgia (U.S. state) Georgia	297,595	195	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Clinch	Georgia (U.S. state) Georgia	6,749	809	
Cobb	Georgia (U.S. state) Georgia	766,149	340	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Coffee	Georgia (U.S. state) Georgia	43,092	599	Douglas, GA Micropolitan Statistical Area
Colquitt	Georgia (U.S. state) Georgia	45,898	552	Moultrie, GA Micropolitan Statistical Area
Columbia	Georgia (U.S. state) Georgia	156,010	290	Augusta-Richmond County, GA-SC Metropolitan Statistical Area
Cook	Georgia (U.S. state) Georgia	17,229	229	
Coweta	Georgia (U.S. state) Georgia	146,158	443	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Crawford	Georgia (U.S. state) Georgia	12,130	325	Macon, GA Metropolitan Statistical Area
Crisp	Georgia (U.S. state) Georgia	20,128	274	Cordele, GA Micropolitan Statistical Area
Dade	Georgia (U.S. state) Georgia	16,251	174	Chattanooga, TN-GA Metropolitan Statistical Area
Dawson	Georgia (U.S. state) Georgia	26,798	211	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Decatur	Georgia (U.S. state) Georgia	29,367	597	Bainbridge, GA Micropolitan Statistical Area
DeKalb	Georgia (U.S. state) Georgia	764,382	268	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Dodge	Georgia (U.S. state) Georgia	19,925	501	
Dooly	Georgia (U.S. state) Georgia	11,208	393	
Dougherty	Georgia (U.S. state) Georgia	85,790	330	Albany, GA Metropolitan Statistical Area
Douglas	Georgia (U.S. state) Georgia	144,237	199	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Early	Georgia (U.S. state) Georgia	10,854	511	
Echols	Georgia (U.S. state) Georgia	3,697	404	Valdosta, GA Metropolitan Statistical Area
Effingham	Georgia (U.S. state) Georgia	64,769	480	Savannah, GA Metropolitan Statistical Area
Elbert	Georgia (U.S. state) Georgia	19,637	369	
Emanuel	Georgia (U.S. state) Georgia	22,768	686	
Evans	Georgia (U.S. state) Georgia	10,774	185	
Fannin	Georgia (U.S. state) Georgia	25,319	386	
Fayette	Georgia (U.S. state) Georgia	119,194	197	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Floyd	Georgia (U.S. state) Georgia	98,584	513	Rome, GA Metropolitan Statistical Area
Forsyth	Georgia (U.S. state) Georgia	251,283	226	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Franklin	Georgia (U.S. state) Georgia	23,424	263	
Fulton	Georgia (U.S. state) Georgia	1,066,710	529	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Gilmer	Georgia (U.S. state) Georgia	31,353	427	
Glascock	Georgia (U.S. state) Georgia	2,884	144	
Glynn	Georgia (U.S. state) Georgia	84,499	422	Brunswick, GA Metropolitan Statistical Area
Gordon	Georgia (U.S. state) Georgia	57,544	355	Calhoun, GA Micropolitan Statistical Area
Grady	Georgia (U.S. state) Georgia	26,236	458	
Greene	Georgia (U.S. state) Georgia	18,915	388	
Gwinnett	Georgia (U.S. state) Georgia	957,062	433	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Habersham	Georgia (U.S. state) Georgia	46,031	278	Cornelia, GA Micropolitan Statistical Area
Hall	Georgia (U.S. state) Georgia	203,136	394	Gainesville, GA Metropolitan Statistical Area
Hancock	Georgia (U.S. state) Georgia	8,735	473	Milledgeville, GA Micropolitan Statistical Area
Haralson	Georgia (U.S. state) Georgia	29,919	282	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Harris	Georgia (U.S. state) Georgia	34,668	464	Columbus, GA-AL Metropolitan Statistical Area
Hart	Georgia (U.S. state) Georgia	25,828	232	
Heard	Georgia (U.S. state) Georgia	11,412	296	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Henry	Georgia (U.S. state) Georgia	240,712	323	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Houston	Georgia (U.S. state) Georgia	163,633	377	Warner Robins, GA Metropolitan Statistical Area
Irwin	Georgia (U.S. state) Georgia	9,666	357	
Jackson	Georgia (U.S. state) Georgia	75,907	342	Jefferson, GA Micropolitan Statistical Area
Jasper	Georgia (U.S. state) Georgia	14,588	370	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Jeff Davis	Georgia (U.S. state) Georgia	14,779	333	
Jefferson	Georgia (U.S. state) Georgia	15,709	528	
Jenkins	Georgia (U.S. state) Georgia	8,674	350	
Johnson	Georgia (U.S. state) Georgia	9,189	304	Dublin, GA Micropolitan Statistical Area
Jones	Georgia (U.S. state) Georgia	28,347	394	Macon, GA Metropolitan Statistical Area
Lamar	Georgia (U.S. state) Georgia	18,500	185	Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area
Lanier	Georgia (U.S. state) Georgia	9,877	187	Valdosta, GA Metropolitan Statistical Area
Laurens	Georgia (U.S. state) Georgia	49,570	813	Dublin, GA Micropolitan Statistical Area
Lee	Georgia (U.S. state) Georgia	33,163	356	Albany, GA Metropolitan Statistical Area
Liberty	Georgia (U.S. state) Georgia	65,256	519	Hinesville, GA Metropolitan Statistical Area
Lincoln	Georgia (U.S. state) Georgia	7,690	211	Augusta-Richmond County, GA-SC Metropolitan Statistical Area
Long	Georgia (U.S. state) Georgia	16,168	401	Hinesville, GA Metropolitan Statistical Area
