Ada	 Idaho	494,967	1055	Boise City, ID Metropolitan Statistical Area
Adams	 Idaho	4,379	1365	
Bannock	 Idaho	87,018	1113	Pocatello, ID Metropolitan Statistical Area
Bear Lake	 Idaho	6,372	971	
Benewah	 Idaho	9,530	776	
Bingham	 Idaho	47,992	2095	Blackfoot, ID Micropolitan Statistical Area
Blaine	 Idaho	24,272	2645	Hailey, ID Micropolitan Statistical Area
Boise	 Idaho	7,610	1902	Boise City, ID Metropolitan Statistical Area
Bonner	 Idaho	47,110	1738	Sandpoint, ID Micropolitan Statistical Area
Bonneville	 Idaho	123,964	1869	Idaho Falls, ID Metropolitan Statistical Area
Boundary	 Idaho	12,056	1269	
Butte	 Idaho	2,574	2233	Idaho Falls, ID Metropolitan Statistical Area
Camas	 Idaho	1,077	1077	Hailey, ID Micropolitan Statistical Area
Canyon	 Idaho	231,105	590	Boise City, ID Metropolitan Statistical Area
Caribou	 Idaho	7,027	1766	
Cassia	 Idaho	24,655	2567	Burley, ID Micropolitan Statistical Area
Clark	 Idaho	790	1765	
Clearwater	 Idaho	8,734	2462	
Custer	 Idaho	4,275	4926	
Elmore	 Idaho	28,666	3078	Mountain Home, ID Micropolitan Statistical Area
Franklin	 Idaho	14,194	666	Logan, UT-ID Metropolitan Statistical Area
Fremont	 Idaho	13,388	1867	Rexburg, ID Micropolitan Statistical Area
Gem	 Idaho	19,123	563	Boise City, ID Metropolitan Statistical Area
Gooding	 Idaho	15,598	731	
Idaho	 Idaho	16,541	8485	
Jefferson	 Idaho	30,891	1095	Idaho Falls, ID Metropolitan Statistical Area
Jerome	 Idaho	24,237	600	Twin Falls, ID Micropolitan Statistical Area
Kootenai	 Idaho	171,362	1245	Coeur d'Alene, ID Metropolitan Statistical Area
Latah	 Idaho	39,517	1077	Moscow, ID Micropolitan Statistical Area
Lemhi	 Idaho	7,974	4564	
Lewis	 Idaho	3,533	479	
Lincoln	 Idaho	5,127	1206	
Madison	 Idaho	52,913	472	Rexburg, ID Micropolitan Statistical Area
Minidoka	 Idaho	21,613	760	Burley, ID Micropolitan Statistical Area
Nez Perce	 Idaho	42,090	849	Lewiston, ID-WA Metropolitan Statistical Area
Oneida	 Idaho	4,564	1200	
Owyhee	 Idaho	11,913	7678	Boise City, ID Metropolitan Statistical Area
Payette	 Idaho	25,386	408	Ontario, OR-ID Micropolitan Statistical Area
Power	 Idaho	7,878	1406	Pocatello, ID Metropolitan Statistical Area
Shoshone	 Idaho	13,169	2634	
Teton	 Idaho	11,630	450	Jackson, WY-ID Micropolitan Statistical Area
Twin Falls	 Idaho	90,046	1925	Twin Falls, ID Micropolitan Statistical Area
Valley	 Idaho	11,746	3733	
Washington	 Idaho	10,500	1456	
