Adams	 Indiana	35,809	339	Decatur, IN Micropolitan Statistical Area
Allen	 Indiana	385,410	657	Fort Wayne, IN Metropolitan Statistical Area
Bartholomew	 Indiana	82,208	407	Columbus, IN Metropolitan Statistical Area
Benton	 Indiana	8,719	406	Lafayette-West Lafayette, IN Metropolitan Statistical Area
Blackford	 Indiana	12,112	165	
Boone	 Indiana	70,812	423	Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area
Brown	 Indiana	15,475	312	Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area
Carroll	 Indiana	20,306	372	Lafayette-West Lafayette, IN Metropolitan Statistical Area
Cass	 Indiana	37,870	412	Logansport, IN Micropolitan Statistical Area
Clark	 Indiana	121,093	373	Louisville/Jefferson County, KY-IN Metropolitan Statistical Area
Clay	 Indiana	26,466	358	Terre Haute, IN Metropolitan Statistical Area
Clinton	 Indiana	33,190	405	Frankfort, IN Micropolitan Statistical Area
Crawford	 Indiana	10,526	306	
Daviess	 Indiana	33,381	429	Washington, IN Micropolitan Statistical Area
Dearborn	 Indiana	50,679	305	Cincinnati, OH-KY-IN Metropolitan Statistical Area
Decatur	 Indiana	26,472	373	Greensburg, IN Micropolitan Statistical Area
DeKalb	 Indiana	43,265	363	Auburn, IN Micropolitan Statistical Area
Delaware	 Indiana	111,903	392	Muncie, IN Metropolitan Statistical Area
Dubois	 Indiana	43,637	427	Jasper, IN Micropolitan Statistical Area
Elkhart	 Indiana	207,047	463	Elkhart-Goshen, IN Metropolitan Statistical Area
Fayette	 Indiana	23,398	215	Connersville, IN Micropolitan Statistical Area
Floyd	 Indiana	80,484	148	Louisville/Jefferson County, KY-IN Metropolitan Statistical Area
Fountain	 Indiana	16,479	396	
Franklin	 Indiana	22,785	384	Cincinnati, OH-KY-IN Metropolitan Statistical Area
Fulton	 Indiana	20,480	368	
Gibson	 Indiana	33,011	487	
Grant	 Indiana	66,674	414	Marion, IN Micropolitan Statistical Area
Greene	 Indiana	30,803	543	
Hamilton	 Indiana	347,467	394	Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area
Hancock	 Indiana	79,840	306	Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area
Harrison	 Indiana	39,654	485	Louisville/Jefferson County, KY-IN Metropolitan Statistical Area
Hendricks	 Indiana	174,788	407	Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area
Henry	 Indiana	48,914	392	New Castle, IN Micropolitan Statistical Area
Howard	 Indiana	83,658	293	Kokomo, IN Metropolitan Statistical Area
Huntington	 Indiana	36,662	383	Huntington, IN Micropolitan Statistical Area
Jackson	 Indiana	46,428	509	Seymour, IN Micropolitan Statistical Area
Jasper	 Indiana	32,918	560	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
Jay	 Indiana	20,478	384	
Jefferson	 Indiana	33,147	361	Madison, IN Micropolitan Statistical Area
Jennings	 Indiana	27,613	377	North Vernon, IN Micropolitan Statistical Area
Johnson	 Indiana	161,765	320	Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area
Knox	 Indiana	36,282	516	Vincennes, IN Micropolitan Statistical Area
Kosciusko	 Indiana	80,240	531	Warsaw, IN Micropolitan Statistical Area
LaGrange	 Indiana	40,446	380	
Lake	 Indiana	498,700	499	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
LaPorte	 Indiana	112,417	598	Michigan City-La Porte, IN Metropolitan Statistical Area
Lawrence	 Indiana	45,011	449	Bedford, IN Micropolitan Statistical Area
Madison	 Indiana	130,129	452	Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area
Marion	 Indiana	977,203	396	Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area
Marshall	 Indiana	46,095	444	Plymouth, IN Micropolitan Statistical Area
Martin	 Indiana	9,812	336	
Miami	 Indiana	35,962	374	Peru, IN Micropolitan Statistical Area
Monroe	 Indiana	139,718	395	Bloomington, IN Metropolitan Statistical Area
Montgomery	 Indiana	37,936	505	Crawfordsville, IN Micropolitan Statistical Area
Morgan	 Indiana	71,780	404	Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area
Newton	 Indiana	13,830	402	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
Noble	 Indiana	47,457	411	Kendallville, IN Micropolitan Statistical Area
Ohio	 Indiana	5,940	86	Cincinnati, OH-KY-IN Metropolitan Statistical Area
Orange	 Indiana	19,867	398	
Owen	 Indiana	21,321	385	Bloomington, IN Metropolitan Statistical Area
Parke	 Indiana	16,156	445	Terre-Haute, IN Metropolitan Statistical Area
Perry	 Indiana	19,170	382	
Pike	 Indiana	12,250	334	Jasper, IN Micropolitan Statistical Area
Porter	 Indiana	173,215	418	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
Posey	 Indiana	25,222	410	Evansville, IN-KY Metropolitan Statistical Area
Pulaski	 Indiana	12,514	434	
Putnam	 Indiana	36,726	481	Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area
Randolph	 Indiana	24,502	452	
Ripley	 Indiana	28,995	446	
Rush	 Indiana	16,752	408	
St. Joseph	 Indiana	272,912	458	South Bend-Mishawaka, IN-MI Metropolitan Statistical Area
Scott	 Indiana	24,384	190	Scottsburg, IN Micropolitan Statistical Area
Shelby	 Indiana	45,055	411	Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area
Spencer	 Indiana	19,810	397	
Starke	 Indiana	23,371	309	
Steuben	 Indiana	34,435	309	Angola, IN Micropolitan Statistical Area
Sullivan	 Indiana	20,817	447	Terre Haute, IN Metropolitan Statistical Area
Switzerland	 Indiana	9,737	221	
Tippecanoe	 Indiana	186,251	500	Lafayette-West Lafayette, IN Metropolitan Statistical Area
Tipton	 Indiana	15,339	261	
Union	 Indiana	7,087	161	Cincinnati, OH-KY-IN Metropolitan Statistical Area
Vanderburgh	 Indiana	180,136	233	Evansville, IN-KY Metropolitan Statistical Area
Vermillion	 Indiana	15,439	257	Terre Haute, IN Metropolitan Statistical Area
Vigo	 Indiana	106,153	403	Terre Haute, IN Metropolitan Statistical Area
Wabash	 Indiana	30,976	412	Wabash, IN Micropolitan Statistical Area
Warren	 Indiana	8,440	365	Lafayette-West Lafayette, IN Metropolitan Statistical Area
Warrick	 Indiana	63,898	385	Evansville, IN-KY Metropolitan Statistical Area
Washington	 Indiana	28,182	514	Louisville/Jefferson County, KY-IN Metropolitan Statistical Area
Wayne	 Indiana	66,553	402	Richmond, IN Micropolitan Statistical Area
Wells	 Indiana	28,180	368	Bluffton, IN Micropolitan Statistical Area
White	 Indiana	25,688	505	
Whitley	 Indiana	34,191	336	Fort Wayne, IN Metropolitan Statistical Area
