Adair	 Kentucky	18,903	407	
Allen	 Kentucky	20,588	3446	Bowling Green, KY Metropolitan Statistical Area
Anderson	 Kentucky	23,852	203	Frankfort, KY Micropolitan Statistical Area
Ballard	 Kentucky	7,728	251	Paducah, KY-IL Micropolitan Statistical Area
Barren	 Kentucky	44,485	491	Glasgow, KY Micropolitan Statistical Area
Bath	 Kentucky	12,750	279	Mount Sterling, KY Micropolitan Statistical Area
Bell	 Kentucky	24,097	361	Middlesborough, KY Micropolitan Statistical Area
Boone	 Kentucky	135,968	246	Cincinnati, OH-KY-IN Metropolitan Statistical Area
Bourbon	 Kentucky	20,252	291	Lexington-Fayette, KY Metropolitan Statistical Area
Boyd	 Kentucky	48,261	160	Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area
Boyle	 Kentucky	30,614	182	Danville, KY Micropolitan Statistical Area
Bracken	 Kentucky	8,400	203	Cincinnati, OH-KY-IN Metropolitan Statistical Area
Breathitt	 Kentucky	13,718	495	
Breckinridge	 Kentucky	20,432	572	
Bullitt	 Kentucky	82,217	299	Louisville/Jefferson County, KY-IN Metropolitan Statistical Area
Butler	 Kentucky	12,371	428	Bowling Green, KY Metropolitan Statistical Area
Caldwell	 Kentucky	12,649	347	
Calloway	 Kentucky	37,103	386	Murray, KY Micropolitan Statistical Area
Campbell	 Kentucky	93,076	152	Cincinnati, OH-KY-IN Metropolitan Statistical Area
Carlisle	 Kentucky	4,826	192	
Carroll	 Kentucky	10,810	130	
Carter	 Kentucky	26,627	411	Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area
Casey	 Kentucky	15,941	446	
Christian	 Kentucky	72,748	721	Clarksville, TN-KY Metropolitan Statistical Area
Clark	 Kentucky	36,972	254	Lexington-Fayette, KY Metropolitan Statistical Area
Clay	 Kentucky	20,345	471	London, KY Micropolitan Statistical Area
Clinton	 Kentucky	9,253	198	
Crittenden	 Kentucky	8,990	362	
Cumberland	 Kentucky	5,888	306	
Daviess	 Kentucky	103,312	462	Owensboro, KY Metropolitan Statistical Area
Edmonson	 Kentucky	12,126	303	Bowling Green, KY Metropolitan Statistical Area
Elliott	 Kentucky	7,354	234	
Estill	 Kentucky	14,163	254	Richmond-Berea KY Micropolitan Statistical Area
Fayette	 Kentucky	322,570	284	Lexington-Fayette, KY Metropolitan Statistical Area
Fleming	 Kentucky	15,082	351	
Floyd	 Kentucky	35,942	394	
Franklin	 Kentucky	51,541	210	Frankfort, KY Micropolitan Statistical Area
Fulton	 Kentucky	6,515	209	
Gallatin	 Kentucky	8,690	105	Cincinnati, OH-KY-IN Metropolitan Statistical Area
Garrard	 Kentucky	16,953	231	
Grant	 Kentucky	24,941	260	Cincinnati, OH-KY-IN Metropolitan Statistical Area
Graves	 Kentucky	36,649	556	Mayfield, KY Micropolitan Statistical Area
Grayson	 Kentucky	26,420	504	
Green	 Kentucky	11,107	289	Campbellsville, KY Micropolitan Statistical Area
Greenup	 Kentucky	35,962	346	Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area
Hancock	 Kentucky	9,095	189	Owensboro, KY Metropolitan Statistical Area
Hardin	 Kentucky	110,702	628	Elizabethtown-Fort Knox, KY Metropolitan Statistical Area
Harlan	 Kentucky	26,831	467	
Harrison	 Kentucky	18,692	310	
Hart	 Kentucky	19,288	416	
Henderson	 Kentucky	44,793	440	Evansville, IN-KY Metropolitan Statistical Area
Henry	 Kentucky	15,678	289	Louisville/Jefferson County, KY-IN Metropolitan Statistical Area
Hickman	 Kentucky	4,521	244	
Hopkins	 Kentucky	45,423	551	Madisonville, KY Micropolitan Statistical Area
Jackson	 Kentucky	12,955	346	
Jefferson	 Kentucky	782,969	385	Louisville/Jefferson County, KY-IN Metropolitan Statistical Area
Jessamine	 Kentucky	52,991	173	Lexington-Fayette, KY Metropolitan Statistical Area
Johnson	 Kentucky	22,680	262	
Kenton	 Kentucky	169,064	163	Cincinnati, OH-KY-IN Metropolitan Statistical Area
