Allen Parish	 Louisiana	22,750	766	
Ascension Parish	 Louisiana	126,500	303	Baton Rouge, LA Metropolitan Statistical Area
Assumption Parish	 Louisiana	21,039	364	Baton Rouge, LA Metropolitan Statistical Area
Avoyelles Parish	 Louisiana	39,693	866	
Beauregard Parish	 Louisiana	36,549	1166	DeRidder, LA Micropolitan Statistical Area
Bienville Parish	 Louisiana	12,981	822	
Bossier Parish	 Louisiana	128,746	867	Shreveport-Bossier City, LA Metropolitan Statistical Area
Caddo Parish	 Louisiana	237,848	937	Shreveport-Bossier City, LA Metropolitan Statistical Area
Calcasieu Parish	 Louisiana	216,785	1094	Lake Charles, LA Metropolitan Statistical Area
Caldwell Parish	 Louisiana	9,645	541	
Cameron Parish	 Louisiana	5,617	1932	Lake Charles, LA Metropolitan Statistical Area
Catahoula Parish	 Louisiana	8,906	739	
Claiborne Parish	 Louisiana	14,170	768	
Concordia Parish	 Louisiana	18,687	749	Natchez, MS-LA Micropolitan Statistical Area
De Soto Parish	 Louisiana	26,812	895	Shreveport-Bossier City, LA Metropolitan Statistical Area
East Baton Rouge Parish	 Louisiana	456,781	471	Baton Rouge, LA Metropolitan Statistical Area
East Carroll Parish	 Louisiana	7,459	442	
East Feliciana Parish	 Louisiana	19,539	456	Baton Rouge, LA Metropolitan Statistical Area
Evangeline Parish	 Louisiana	32,350	680	
Franklin Parish	 Louisiana	19,774	636	
Grant Parish	 Louisiana	22,169	664	Alexandria, LA Metropolitan Statistical Area
Iberia Parish	 Louisiana	69,929	1031	Lafayette, LA Metropolitan Statistical Area
Iberville Parish	 Louisiana	30,241	653	Baton Rouge, LA Metropolitan Statistical Area
Jackson Parish	 Louisiana	15,031	580	
Jefferson Parish	 Louisiana	440,781	642	New Orleans-Metairie, LA Metropolitan Statistical Area
Jefferson Davis Parish	 Louisiana	32,250	659	Jennings, LA Micropolitan Statistical Area
Lafayette Parish	 Louisiana	241,753	270	Lafayette, LA Metropolitan Statistical Area
Lafourche Parish	 Louisiana	97,557	1472	Houma-Thibodaux, LA Metropolitan Statistical Area
LaSalle Parish	 Louisiana	14,791	663	
Lincoln Parish	 Louisiana	48,396	472	Ruston, LA Micropolitan Statistical Area
Livingston Parish	 Louisiana	142,282	703	Baton Rouge, LA Metropolitan Statistical Area
Madison Parish	 Louisiana	10,017	651	
Morehouse Parish	 Louisiana	25,629	805	Bastrop, LA Micropolitan Statistical Area
Natchitoches Parish	 Louisiana	37,515	1299	Natchitoches, LA Micropolitan Statistical Area
Orleans Parish	 Louisiana	383,997	350	New Orleans-Metairie, LA Metropolitan Statistical Area
Ouachita Parish	 Louisiana	160,368	633	Monroe, LA Metropolitan Statistical Area
Plaquemines Parish	 Louisiana	23,515	2429	New Orleans-Metairie, LA Metropolitan Statistical Area
Pointe Coupee Parish	 Louisiana	20,758	591	Baton Rouge, LA Metropolitan Statistical Area
Rapides Parish	 Louisiana	130,023	1362	Alexandria, LA Metropolitan Statistical Area
Red River Parish	 Louisiana	7,620	402	
Richland Parish	 Louisiana	20,043	564	
Sabine Parish	 Louisiana	22,155	1012	
St. Bernard Parish	 Louisiana	43,764	1794	New Orleans-Metairie, LA Metropolitan Statistical Area
St. Charles Parish	 Louisiana	52,549	410	New Orleans-Metairie, LA Metropolitan Statistical Area
St. Helena Parish	 Louisiana	10,920	409	Baton Rouge, LA Metropolitan Statistical Area
St. James Parish	 Louisiana	20,192	258	New Orleans-Metairie, LA Metropolitan Statistical Area
St. John the Baptist Parish	 Louisiana	42,477	348	New Orleans-Metairie, LA Metropolitan Statistical Area
St. Landry Parish	 Louisiana	82,540	939	Opelousas, LA Micropolitan Statistical Area
St. Martin Parish	 Louisiana	51,767	817	Lafayette, LA Metropolitan Statistical Area
St. Mary Parish	 Louisiana	49,406	612	Morgan City, LA Micropolitan Statistical Area
St. Tammany Parish	 Louisiana	264,570	1124	New Orleans-Metairie, LA Metropolitan Statistical Area
Tangipahoa Parish	 Louisiana	133,157	823	Hammond, LA Metropolitan Statistical Area
Tensas Parish	 Louisiana	4,147	641	
Terrebonne Parish	 Louisiana	109,580	2080	Houma-Thibodaux, LA Metropolitan Statistical Area
Union Parish	 Louisiana	21,107	905	Monroe, LA Metropolitan Statistical Area
Vermilion Parish	 Louisiana	57,359	1538	Lafayette, LA Metropolitan Statistical Area
Vernon Parish	 Louisiana	48,750	1341	Fort Polk South, LA Micropolitan Statistical Area
Washington Parish	 Louisiana	45,463	676	Bogalusa, LA Micropolitan Statistical Area
Webster Parish	 Louisiana	36,967	615	Shreveport-Bossier City, LA Metropolitan Statistical Area
West Baton Rouge Parish	 Louisiana	27,199	203	Baton Rouge, LA Metropolitan Statistical Area
West Carroll Parish	 Louisiana	9,751	360	
West Feliciana Parish	 Louisiana	15,310	426	Baton Rouge, LA Metropolitan Statistical Area
Winn Parish	 Louisiana	13,755	957	
