Allegany	 Maryland	68,106	430	Cumberland, MD-WV Metropolitan Statistical Area
Anne Arundel	 Maryland	588,261	588	Baltimore-Columbia-Towson, MD Metropolitan Statistical Area
Baltimore	 Maryland	854,535	682	Baltimore-Columbia-Towson, MD Metropolitan Statistical Area
Calvert	 Maryland	92,783	92	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Caroline	 Maryland	33,293	345	
Carroll	 Maryland	172,891	326	Baltimore-Columbia-Towson, MD Metropolitan Statistical Area
Cecil	 Maryland	103,725	452	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
Charles	 Maryland	166,617	418	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Dorchester	 Maryland	32,531	643	Cambridge, MD Micropolitan Statistical Area
Frederick	 Maryland	271,717	540	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Garrett	 Maryland	28,806	667	
Harford	 Maryland	260,924	656	Baltimore-Columbia-Towson, MD Metropolitan Statistical Area
Howard	 Maryland	332,317	527	Baltimore-Columbia-Towson, MD Metropolitan Statistical Area
Kent	 Maryland	19,198	254	
Montgomery	 Maryland	1,062,061	414	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Prince George's	 Maryland	967,201	507	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Queen Anne's	 Maryland	49,874	498	Baltimore-Columbia-Towson, MD Metropolitan Statistical Area
St. Mary's	 Maryland	113,777	510	California-Lexington Park, MD Metropolitan Statistical Area
Somerset	 Maryland	24,620	611	Salisbury, MD-DE Metropolitan Statistical Area
Talbot	 Maryland	37,526	611	Easton, MD Micropolitan Statistical Area
Washington	 Maryland	154,705	477	Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area
Wicomico	 Maryland	103,588	468	Salisbury, MD-DE Metropolitan Statistical Area
Worcester	 Maryland	52,460	400	Salisbury, MD-DE Metropolitan Statistical Area
Baltimore	 Maryland	585,708	695	Baltimore-Columbia-Towson, MD Metropolitan Statistical Area
