Androscoggin	 Maine	111,139	497	Lewiston-Auburn, ME Metropolitan Statistical Area
Aroostook	 Maine	67,105	6829	
Cumberland	 Maine	303,069	1217	Portland-South Portland, ME Metropolitan Statistical Area
Franklin	 Maine	29,456	1744	
Hancock	 Maine	55,478	2351	
Kennebec	 Maine	123,642	951	Augusta-Waterville, ME Micropolitan Statistical Area
Knox	 Maine	40,607	1142	
Lincoln	 Maine	35,237	700	
Oxford	 Maine	57,777	2175	
Penobscot	 Maine	152,199	3556	Bangor, ME Metropolitan Statistical Area
Piscataquis	 Maine	16,800	4377	
Sagadahoc	 Maine	36,699	370	Portland-South Portland, ME Metropolitan Statistical Area
Somerset	 Maine	50,477	4095	
Waldo	 Maine	39,607	853	
Washington	 Maine	31,095	3255	
York	 Maine	211,972	1271	Portland-South Portland, ME Metropolitan Statistical Area
