Alcona	 Michigan	10,167	1791	
Alger	 Michigan	8,842	5049	
Allegan	 Michigan	120,502	1833	Holland, MI Micropolitan Statistical Area
Alpena	 Michigan	28,907	1695	Alpena, MI Micropolitan Statistical Area
Antrim	 Michigan	23,431	602	
Arenac	 Michigan	15,002	681	
Baraga	 Michigan	8,158	1069	
Barry	 Michigan	62,423	577	
Bay	 Michigan	103,856	631	Bay City, MI Metropolitan Statistical Area
Benzie	 Michigan	17,970	860	Traverse City, MI Micropolitan Statistical Area
Berrien	 Michigan	154,316	1581	Niles-Benton Harbor, MI Metropolitan Statistical Area
Branch	 Michigan	44,862	519	Coldwater, MI Micropolitan Statistical Area
Calhoun	 Michigan	134,310	718	Battle Creek, MI Metropolitan Statistical Area
Cass	 Michigan	51,589	508	South Bend-Mishawaka, IN-MI Metropolitan Statistical Area
Charlevoix	 Michigan	26,054	1391	
Cheboygan	 Michigan	25,579	885	
Chippewa	 Michigan	36,785	2698	Sault Ste. Marie, MI Micropolitan Statistical Area
Clare	 Michigan	30,856	885	
Clinton	 Michigan	79,128	575	Lansing-East Lansing, MI Metropolitan Statistical Area
Crawford	 Michigan	12,988	563	
Delta	 Michigan	36,903	1992	Escanaba, MI Micropolitan Statistical Area
Dickinson	 Michigan	25,947	777	Iron Mountain, MI-WI Micropolitan Statistical Area
Eaton	 Michigan	109,175	579	Lansing-East Lansing, MI Metropolitan Statistical Area
Emmet	 Michigan	34,112	882	
Genesee	 Michigan	406,211	649	Flint, MI Metropolitan Statistical Area
Gladwin	 Michigan	25,386	516	
Gogebic	 Michigan	14,380	1476	
Grand Traverse	 Michigan	95,238	601	Traverse City, MI Micropolitan Statistical Area
Gratiot	 Michigan	41,761	572	Alma, MI Micropolitan Statistical Area
Hillsdale	 Michigan	45,746	607	Hillsdale, MI Micropolitan Statistical Area
Houghton	 Michigan	37,361	1502	Houghton, MI Micropolitan Statistical Area
Huron	 Michigan	31,407	2136	
Ingham	 Michigan	284,900	561	Lansing-East Lansing, MI Metropolitan Statistical Area
Ionia	 Michigan	66,804	580	Grand Rapids-Kentwood, MI Metropolitan Statistical Area
Iosco	 Michigan	25,237	1891	
Iron	 Michigan	11,631	1211	
Isabella	 Michigan	64,394	578	Mount Pleasant, MI Micropolitan Statistical Area
Jackson	 Michigan	160,366	724	Jackson, MI Metropolitan Statistical Area
Kalamazoo	 Michigan	261,670	580	Kalamazoo-Portage, MI Metropolitan Statistical Area
Kalkaska	 Michigan	17,939	571	Traverse City, MI Micropolitan Statistical Area
Kent	 Michigan	657,974	872	Grand Rapids-Kentwood, MI Metropolitan Statistical Area
Keweenaw	 Michigan	2,046	5966	Houghton, MI Micropolitan Statistical Area
Lake	 Michigan	12,096	575	
Lapeer	 Michigan	88,619	663	Detroit-Warren-Dearborn, MI Metropolitan Statistical Area
Leelanau	 Michigan	22,301	2532	Traverse City, MI Micropolitan Statistical Area
Lenawee	 Michigan	99,423	761	Adrian, MI Micropolitan Statistical Area
Livingston	 Michigan	193,866	585	Detroit-Warren-Dearborn, MI Metropolitan Statistical Area
Luce	 Michigan	5,339	1912	
Mackinac	 Michigan	10,834	2101	
Macomb	 Michigan	881,217	570	Detroit-Warren-Dearborn, MI Metropolitan Statistical Area
Manistee	 Michigan	25,032	1281	
Marquette	 Michigan	66,017	3425	Marquette, MI Micropolitan Statistical Area
Mason	 Michigan	29,052	1242	Ludington, MI Micropolitan Statistical Area
Mecosta	 Michigan	39,714	571	Big Rapids, MI Micropolitan Statistical Area
Menominee	 Michigan	23,502	1338	Marinette, WI-MI Micropolitan Statistical Area
Midland	 Michigan	83,494	528	Midland, MI Metropolitan Statistical Area
Missaukee	 Michigan	15,052	574	Cadillac, MI Micropolitan Statistical Area
Monroe	 Michigan	154,809	680	Monroe, MI Metropolitan Statistical Area
Montcalm	 Michigan	66,614	721	Grand Rapids-Wyoming, MI Metropolitan Statistical Area
Montmorency	 Michigan	9,153	562	
Muskegon	 Michigan	175,824	1459	Muskegon, MI Metropolitan Statistical Area
Newaygo	 Michigan	49,978	861	
Oakland	 Michigan	1,274,395	908	Detroit-Warren-Dearborn, MI Metropolitan Statistical Area
Oceana	 Michigan	26,659	1307	
Ogemaw	 Michigan	20,770	575	
Ontonagon	 Michigan	5,816	3741	
Osceola	 Michigan	22,891	573	
Oscoda	 Michigan	8,219	572	
Otsego	 Michigan	25,091	526	
Ottawa	 Michigan	296,200	1632	Grand Rapids-Kentwood, MI Metropolitan Statistical Area
Presque Isle	 Michigan	12,982	2573	
Roscommon	 Michigan	23,459	580	
Saginaw	 Michigan	190,124	816	Saginaw, MI Metropolitan Statistical Area
St. Clair	 Michigan	160,383	837	Detroit-Warren-Dearborn, MI Metropolitan Statistical Area
St. Joseph	 Michigan	60,939	521	Sturgis, MI Micropolitan Statistical Area
Sanilac	 Michigan	40,611	1590	
Schoolcraft	 Michigan	8,047	1884	
Shiawassee	 Michigan	68,094	541	Lansing-East Lansing, MI Metropolitan Statistical Area
Tuscola	 Michigan	53,323	914	
Van Buren	 Michigan	75,587	1090	
Washtenaw	 Michigan	372,258	723	Ann Arbor, MI Metropolitan Statistical Area
Wayne	 Michigan	1,793,561	672	Detroit-Warren-Dearborn, MI Metropolitan Statistical Area
Wexford	 Michigan	33,673	576	Cadillac, MI Micropolitan Statistical Area
