Alamance	 North Carolina	171,415	435	Burlington, NC Metropolitan Statistical Area
Alexander	 North Carolina	36,444	263	Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area
Alleghany	 North Carolina	10,888	236	
Anson	 North Carolina	22,055	537	Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area
Ashe	 North Carolina	26,577	427	
Avery	 North Carolina	17,934	247	
Beaufort	 North Carolina	44,652	959	Washington, NC Micropolitan Statistical Area
Bertie	 North Carolina	17,934	741	
Bladen	 North Carolina	29,606	887	
Brunswick	 North Carolina	136,693	860	Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area
Buncombe	 North Carolina	269,452	660	Asheville, NC Metropolitan Statistical Area
Burke	 North Carolina	87,570	515	Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area
Cabarrus	 North Carolina	225,804	365	Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area
Caldwell	 North Carolina	80,652	474	Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area
Camden	 North Carolina	10,355	306	Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area
Carteret	 North Carolina	67,686	1341	Morehead City, NC Micropolitan Statistical Area
Caswell	 North Carolina	22,736	428	
Catawba	 North Carolina	160,610	414	Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area
Chatham	 North Carolina	76,285	709	Durham-Chapel Hill, NC Metropolitan Statistical Area
Cherokee	 North Carolina	28,774	497	
Chowan	 North Carolina	13,708	233	
Clay	 North Carolina	11,089	221	
Cleveland	 North Carolina	99,519	469	Shelby, NC Micropolitan Statistical Area
Columbus	 North Carolina	50,623	954	
Craven	 North Carolina	100,720	774	New Bern, NC Metropolitan Statistical Area
Cumberland	 North Carolina	334,728	658	Fayetteville, NC Metropolitan Statistical Area
Currituck	 North Carolina	28,100	526	Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area
Dare	 North Carolina	36,915	1562	Kill Devil Hills, NC Micropolitan Statistical Area
Davidson	 North Carolina	168,930	567	Winston-Salem, NC Metropolitan Statistical Area
Davie	 North Carolina	42,712	267	Winston-Salem, NC Metropolitan Statistical Area
Duplin	 North Carolina	48,715	819	
Durham	 North Carolina	324,833	298	Durham-Chapel Hill, NC Metropolitan Statistical Area
Edgecombe	 North Carolina	48,900	507	Rocky Mount, NC Metropolitan Statistical Area
Forsyth	 North Carolina	382,590	413	Winston-Salem, NC Metropolitan Statistical Area
Franklin	 North Carolina	68,573	495	Raleigh, NC Metropolitan Statistical Area
