Adams	 North Dakota	2,200	988	
Barnes	 North Dakota	10,853	1492	
Benson	 North Dakota	5,964	1389	
Billings	 North Dakota	945	1152	Dickinson, ND Micropolitan Statistical Area
Bottineau	 North Dakota	6,379	1669	
Bowman	 North Dakota	2,993	1162	
Burke	 North Dakota	2,201	1104	
Burleigh	 North Dakota	98,458	1633	Bismarck, ND Metropolitan Statistical Area
Cass	 North Dakota	184,525	1766	Fargo, ND-MN Metropolitan Statistical Area
Cavalier	 North Dakota	3,704	1489	
Dickey	 North Dakota	4,999	1131	
Divide	 North Dakota	2,195	1259	
Dunn	 North Dakota	4,095	2010	
Eddy	 North Dakota	2,347	632	
Emmons	 North Dakota	3,301	1510	
Foster	 North Dakota	3,397	635	
Golden Valley	 North Dakota	1,736	1002	
Grand Forks	 North Dakota	73,170	1438	Grand Forks, ND-MN Metropolitan Statistical Area
Grant	 North Dakota	2,301	1660	
Griggs	 North Dakota	2,306	708	
Hettinger	 North Dakota	2,489	1132	
Kidder	 North Dakota	2,394	1352	
LaMoure	 North Dakota	4,093	1147	
Logan	 North Dakota	1,876	993	
McHenry	 North Dakota	5,345	1874	Minot, ND Micropolitan Statistical Area
McIntosh	 North Dakota	2,530	975	
McKenzie	 North Dakota	14,704	2742	
McLean	 North Dakota	9,771	2110	
Mercer	 North Dakota	8,350	1045	
Morton	 North Dakota	33,291	1926	Bismarck, ND Metropolitan Statistical Area
Mountrail	 North Dakota	9,809	1824	
Nelson	 North Dakota	3,015	982	
Oliver	 North Dakota	1,877	724	Bismarck, ND Metropolitan Statistical Area
Pembina	 North Dakota	6,844	1119	
Pierce	 North Dakota	3,990	1018	
Ramsey	 North Dakota	11,605	1186	
Ransom	 North Dakota	5,703	863	
Renville	 North Dakota	2,282	875	Minot, ND Micropolitan Statistical Area
Richland	 North Dakota	16,529	1437	Wahpeton, ND-MN Micropolitan Statistical Area
Rolette	 North Dakota	12,187	902	
Sargent	 North Dakota	3,862	859	
Sheridan	 North Dakota	1,265	972	
Sioux	 North Dakota	3,898	1094	
Slope	 North Dakota	706	1218	
Stark	 North Dakota	33,646	1338	Dickinson, ND Micropolitan Statistical Area
Steele	 North Dakota	1,798	712	
Stutsman	 North Dakota	21,593	2222	Jamestown, ND Micropolitan Statistical Area
Towner	 North Dakota	2,162	1025	
Traill	 North Dakota	7,997	862	
Walsh	 North Dakota	10,563	1282	
Ward	 North Dakota	69,919	2013	Minot, ND Micropolitan Statistical Area
Wells	 North Dakota	3,982	1271	
Williams	 North Dakota	40,950	2071	Williston, ND Micropolitan Statistical Area
