Belknap	 New Hampshire	63,705	401	Laconia, NH Micropolitan Statistical Area
Carroll	 New Hampshire	50,107	934	
Cheshire	 New Hampshire	76,458	708	Keene, NH Micropolitan Statistical Area
Coos	 New Hampshire	31,268	1801	Berlin, NH-VT Micropolitan Statistical Area
Grafton	 New Hampshire	91,118	1714	Lebanon, NH-VT Micropolitan Statistical Area
Hillsborough	 New Hampshire	422,937	876	Manchester-Nashua, NH Metropolitan Statistical Area
Merrimack	 New Hampshire	153,808	934	Concord, NH Micropolitan Statistical Area
Rockingham	 New Hampshire	314,176	695	Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area
Strafford	 New Hampshire	130,889	369	Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area
Sullivan	 New Hampshire	43,063	537	Lebanon, NH-VT Micropolitan Statistical Area
