Atlantic	 New Jersey	274,534	561	Atlantic City-Hammonton, NJ Metropolitan Statistical Area
Bergen	 New Jersey	955,732	234	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Burlington	 New Jersey	461,860	805	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
Camden	 New Jersey	523,485	222	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
Cape May	 New Jersey	95,263	255	Ocean City, NJ Metropolitan Statistical Area
Cumberland	 New Jersey	154,152	489	Vineland-Bridgeton, NJ Metropolitan Statistical Area
Essex	 New Jersey	863,728	126	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Gloucester	 New Jersey	302,294	325	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
Hudson	 New Jersey	724,854	47	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Hunterdon	 New Jersey	128,947	430	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Mercer	 New Jersey	387,340	226	Trenton-Princeton, NJ Metropolitan Statistical Area
Middlesex	 New Jersey	863,162	311	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Monmouth	 New Jersey	643,615	472	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Morris	 New Jersey	509,285	469	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Ocean	 New Jersey	637,229	636	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Passaic	 New Jersey	524,118	185	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Salem	 New Jersey	64,837	338	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
Somerset	 New Jersey	345,361	305	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Sussex	 New Jersey	144,221	521	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Union	 New Jersey	575,345	103	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Warren	 New Jersey	109,632	358	Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area
