Bernalillo	 New Mexico	676,444	1166	Albuquerque, NM Metropolitan Statistical Area
Catron	 New Mexico	3,579	6928	
Chaves	 New Mexico	65,157	6071	Roswell, NM Micropolitan Statistical Area
Cibola	 New Mexico	27,172	4540	Grants, NM Micropolitan Statistical Area
Colfax	 New Mexico	12,387	3757	
Curry	 New Mexico	48,430	1406	Clovis, NM Micropolitan Statistical Area
De Baca	 New Mexico	1,698	2325	
Doña Ana	 New Mexico	219,561	3807	Las Cruces, NM Metropolitan Statistical Area
Eddy	 New Mexico	62,314	4182	Carlsbad-Artesia, NM Micropolitan Statistical Area
Grant	 New Mexico	28,185	3966	Silver City, NM Micropolitan Statistical Area
Guadalupe	 New Mexico	4,452	3031	
Harding	 New Mexico	657	2126	
Hidalgo	 New Mexico	4,178	3446	
Lea	 New Mexico	74,455	4393	Hobbs, NM Micropolitan Statistical Area
Lincoln	 New Mexico	20,269	4831	Ruidoso, NM Micropolitan Statistical Area
Los Alamos[v]	 New Mexico	19,419	109	Los Alamos, NM Micropolitan Statistical Area
Luna	 New Mexico	25,427	2965	Deming, NM Micropolitan Statistical Area
McKinley	 New Mexico	72,902	5449	Gallup, NM Micropolitan Statistical Area
Mora	 New Mexico	4,189	1931	Las Vegas, NM Micropolitan Statistical Area
Otero	 New Mexico	67,839	6627	Alamogordo, NM Micropolitan Statistical Area
Quay	 New Mexico	8,746	2855	
Rio Arriba	 New Mexico	40,363	5858	Española, NM Micropolitan Statistical Area
Roosevelt	 New Mexico	19,191	2449	Portales, NM Micropolitan Statistical Area
Sandoval	 New Mexico	148,834	3710	Albuquerque, NM Metropolitan Statistical Area
San Juan	 New Mexico	121,661	5514	Farmington, NM Metropolitan Statistical Area
San Miguel	 New Mexico	27,201	4717	Las Vegas, NM Micropolitan Statistical Area
Santa Fe	 New Mexico	154,823	1909	Santa Fe, NM Metropolitan Statistical Area
Sierra	 New Mexico	11,576	4180	
Socorro	 New Mexico	16,595	6647	
Taos	 New Mexico	34,489	2203	Taos, NM Micropolitan Statistical Area
Torrance	 New Mexico	15,045	3345	Albuquerque, NM Metropolitan Statistical Area
Union	 New Mexico	4,079	3830	
Valencia	 New Mexico	76,205	1068	Albuquerque, NM Metropolitan Statistical Area
