Albany	New York (state) New York	314,848	533	Albany-Schenectady-Troy, NY Metropolitan Statistical Area
Allegany	New York (state) New York	46,456	1034	
Bronx	New York (state) New York	1,472,654	57.43	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Broome	New York (state) New York	198,683	715	Binghamton, NY Metropolitan Statistical Area
Cattaraugus	New York (state) New York	77,042	1310	Olean, NY Micropolitan Statistical Area
Cayuga	New York (state) New York	76,248	864	Auburn, NY Micropolitan Statistical Area
Chautauqua	New York (state) New York	127,657	1500	Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area
Chemung	New York (state) New York	84,148	410.81	Elmira, NY Metropolitan Statistical Area
Chenango	New York (state) New York	47,220	898.95	
Clinton	New York (state) New York	79,843	1118	Plattsburgh, NY Micropolitan Statistical Area
Columbia	New York (state) New York	61,570	648	Hudson, NY Micropolitan Statistical Area
Cortland	New York (state) New York	46,809	502	Cortland, NY Micropolitan Statistical Area
Delaware	New York (state) New York	44,308	1468	
Dutchess	New York (state) New York	295,911	825	Poughkeepsie-Newbury-Middletown, NY Metropolitan Statistical Area
Erie	New York (state) New York	954,236	1227	Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area
Essex	New York (state) New York	37,381	1916	
Franklin	New York (state) New York	47,555	1697	Malone, NY Micropolitan Statistical Area
Fulton	New York (state) New York	53,324	533	Gloversville, NY Micropolitan Statistical Area
Genesee	New York (state) New York	58,388	495	Batavia, NY Micropolitan Statistical Area
Greene	New York (state) New York	47,931	658	
Hamilton	New York (state) New York	5,107	1808	
Herkimer	New York (state) New York	60,139	1458	Utica-Rome, NY Metropolitan Statistical Area
Jefferson	New York (state) New York	116,721	1857	Watertown-Fort Drum, NY Metropolitan Statistical Area
Kings	New York (state) New York	2,736,074	96.9	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Lewis	New York (state) New York	26,582	1290	
Livingston	New York (state) New York	61,834	640	Rochester, NY Metropolitan Statistical Area
Madison	New York (state) New York	68,016	662	Syracuse, NY Metropolitan Statistical Area
Monroe	New York (state) New York	759,443	1366	Rochester, NY Metropolitan Statistical Area
Montgomery	New York (state) New York	49,532	410	Amsterdam, NY Micropolitan Statistical Area
Nassau	New York (state) New York	1,395,774	453	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
New York	New York (state) New York	1,694,251	33.77	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Niagara	New York (state) New York	212,666	1140	Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area
Oneida	New York (state) New York	232,125	1213	Utica-Rome, NY Metropolitan Statistical Area
Onondaga	New York (state) New York	476,516	806	Syracuse, NY Metropolitan Statistical Area
Ontario	New York (state) New York	112,458	662	Rochester, NY Metropolitan Statistical Area
Orange	New York (state) New York	401,310	839	Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area
Orleans	New York (state) New York	40,343	817	Rochester, NY Metropolitan Statistical Area
Oswego	New York (state) New York	117,525	1312	Syracuse, NY Metropolitan Statistical Area
Otsego	New York (state) New York	58,524	1003	Oneonta, NY Micropolitan Statistical Area
Putnam	New York (state) New York	97,668	246	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Queens	New York (state) New York	2,405,464	178.28	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Rensselaer	New York (state) New York	161,130	665	Albany-Schenectady-Troy, NY Metropolitan Statistical Area
Richmond	New York (state) New York	495,747	102.5	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Rockland	New York (state) New York	338,329	199	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
St. Lawrence	New York (state) New York	108,505	2821	Ogdensburg-Massena, NY Micropolitan Statistical Area
Saratoga	New York (state) New York	235,509	844	Albany-Schenectady-Troy, NY Metropolitan Statistical Area
Schenectady	New York (state) New York	158,061	210	Albany-Schenectady-Troy, NY Metropolitan Statistical Area
Schoharie	New York (state) New York	29,714	626	Albany-Schenectady-Troy, NY Metropolitan Statistical Area
Schuyler	New York (state) New York	17,898	342	
Seneca	New York (state) New York	33,814	325	Seneca Falls, NY Micropolitan Statistical Area
Steuben	New York (state) New York	93,584	1404	Corning, NY Micropolitan Statistical Area
Suffolk	New York (state) New York	1,525,920	2373	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Sullivan	New York (state) New York	78,624	997	
Tioga	New York (state) New York	48,455	523	Binghamton, NY Metropolitan Statistical Area
Tompkins	New York (state) New York	105,740	476	Ithaca, NY Metropolitan Statistical Area
Ulster	New York (state) New York	181,851	1161	Kingston, NY Metropolitan Statistical Area
Warren	New York (state) New York	65,737	870	Glens Falls, NY Metropolitan Statistical Area
Washington	New York (state) New York	61,302	846	Glens Falls, NY Metropolitan Statistical Area
Wayne	New York (state) New York	91,283	1384	Rochester, NY Metropolitan Statistical Area
Westchester	New York (state) New York	1,004,457	500	New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area
Wyoming	New York (state) New York	40,531	596	
Yates	New York (state) New York	24,774	376	Rochester, NY Metropolitan Statistical Area
