Adams	 Ohio	27,477	583.91	
Allen	 Ohio	102,206	404.43	Lima, OH Metropolitan Statistical Area
Ashland	 Ohio	52,447	424.37	Ashland, OH Micropolitan Statistical Area
Ashtabula	 Ohio	97,574	702.44	Ashtabula, OH Micropolitan Statistical Area
Athens	 Ohio	62,431	506.76	Athens, OH Micropolitan Statistical Area
Auglaize	 Ohio	46,422	401.25	Wapakoneta, OH Micropolitan Statistical Area
Belmont	 Ohio	66,497	537.35	Wheeling, WV-OH Metropolitan Statistical Area
Brown	 Ohio	43,676	491.76	Cincinnati, OH-KY-IN Metropolitan Statistical Area
Butler	 Ohio	390,357	467.27	Cincinnati, OH-KY-IN Metropolitan Statistical Area
Carroll	 Ohio	26,721	394.67	Canton-Massillon, OH Metropolitan Statistical Area
Champaign	 Ohio	38,714	428.56	Urbana, OH Micropolitan Statistical Area
Clark	 Ohio	136,001	399.86	Springfield, OH Metropolitan Statistical Area
Clermont	 Ohio	208,601	451.99	Cincinnati, OH-KY-IN Metropolitan Statistical Area
Clinton	 Ohio	42,018	410.88	Wilmington, OH Micropolitan Statistical Area
Columbiana	 Ohio	101,877	532.46	Salem, OH Micropolitan Statistical Area
Coshocton	 Ohio	36,612	564.07	Coshocton, OH Micropolitan Statistical Area
Crawford	 Ohio	42,025	402.11	Bucyrus-Galion, OH Micropolitan Statistical Area
Cuyahoga	 Ohio	1,264,817	458.49	Cleveland-Elyria, OH Metropolitan Statistical Area
Darke	 Ohio	51,881	599.8	Greenville, OH Micropolitan Statistical Area
Defiance	 Ohio	38,286	411.16	Defiance, OH Micropolitan Statistical Area
Delaware	 Ohio	214,124	442.41	Columbus, OH Metropolitan Statistical Area
Erie	 Ohio	75,622	254.88	Sandusky, OH Micropolitan Statistical Area
Fairfield	 Ohio	158,921	505.11	Columbus, OH Metropolitan Statistical Area
Fayette	 Ohio	28,951	406.58	Washington Court House, OH Micropolitan Statistical Area
Franklin	 Ohio	1,323,807	539.87	Columbus, OH Metropolitan Statistical Area
Fulton	 Ohio	42,713	406.78	Toledo, OH Metropolitan Statistical Area
Gallia	 Ohio	29,220	468.78	Point Pleasant, WV-OH Micropolitan Statistical Area
Geauga	 Ohio	95,397	403.66	Cleveland-Elyria, OH Metropolitan Statistical Area
Greene	 Ohio	167,966	414.88	Dayton, OH Metropolitan Statistical Area
Guernsey	 Ohio	38,438	521.9	Cambridge, OH Micropolitan Statistical Area
Hamilton	 Ohio	830,639	407.36	Cincinnati, OH-KY-IN Metropolitan Statistical Area
Hancock	 Ohio	74,920	531.35	Findlay, OH Micropolitan Statistical Area
Hardin	 Ohio	30,696	470.29	
Harrison	 Ohio	14,483	403.53	
Henry	 Ohio	27,662	416.5	
Highland	 Ohio	43,317	553.28	
Hocking	 Ohio	28,050	422.75	Columbus, OH Metropolitan Statistical Area
Holmes	 Ohio	44,223	422.99	
Huron	 Ohio	58,565	429.69	Norwalk, OH Micropolitan Statistical Area
Jackson	 Ohio	32,653	420.28	Jackson, OH Micropolitan Statistical Area
Jefferson	 Ohio	65,249	409.61	Weirton-Steubenville, WV-OH Metropolitan Statistical Area
