Adair	 Oklahoma	19,495	576	
Alfalfa	 Oklahoma	5,699	867	
Atoka	 Oklahoma	14,143	978	
Beaver	 Oklahoma	5,049	1814	
Beckham	 Oklahoma	22,410	902	Elk City, OK Micropolitan Statistical Area
Blaine	 Oklahoma	8,735	929	
Bryan	 Oklahoma	46,067	909	Durant, OK Micropolitan Statistical Area
Caddo	 Oklahoma	26,945	1278	
Canadian	 Oklahoma	154,405	900	Oklahoma City, OK Metropolitan Statistical Area
Carter	 Oklahoma	48,003	824	Ardmore, OK Micropolitan Statistical Area
Cherokee	 Oklahoma	47,078	751	Tahlequah, OK Micropolitan Statistical Area
Choctaw	 Oklahoma	14,204	774	
Cimarron	 Oklahoma	2,296	1835	
Cleveland	 Oklahoma	295,528	536	Oklahoma City, OK Metropolitan Statistical Area
Coal	 Oklahoma	5,266	518	
Comanche	 Oklahoma	121,125	1069	Lawton, OK Metropolitan Statistical Area
Cotton	 Oklahoma	5,527	637	Lawton, OK Metropolitan Statistical Area
Craig	 Oklahoma	14,107	761	
Creek	 Oklahoma	71,754	956	Tulsa, OK Metropolitan Statistical Area
Custer	 Oklahoma	28,513	987	Weatherford, OK Micropolitan Statistical Area
Delaware	 Oklahoma	40,397	741	
Dewey	 Oklahoma	4,484	1000	
Ellis	 Oklahoma	3,749	1229	Woodward, OK Micropolitan Statistical Area
Garfield	 Oklahoma	62,846	1058	Enid, OK Micropolitan Statistical Area
Garvin	 Oklahoma	25,656	809	
Grady	 Oklahoma	54,795	1101	Oklahoma City, OK Metropolitan Statistical Area
Grant	 Oklahoma	4,169	1001	
Greer	 Oklahoma	5,491	639	
Harmon	 Oklahoma	2,488	538	
Harper	 Oklahoma	3,272	1039	
Haskell	 Oklahoma	11,561	577	
Hughes	 Oklahoma	13,367	807	
Jackson	 Oklahoma	24,785	803	Altus, OK Micropolitan Statistical Area
Jefferson	 Oklahoma	5,337	759	
Johnston	 Oklahoma	10,272	645	
Kay	 Oklahoma	43,700	919	Ponca City, OK Micropolitan Statistical Area
Kingfisher	 Oklahoma	15,184	903	
Kiowa	 Oklahoma	8,509	1015	
Latimer	 Oklahoma	9,444	722	
Le Flore	 Oklahoma	48,129	1586	
Lincoln	 Oklahoma	33,458	959	Oklahoma City, OK Metropolitan Statistical Area
Logan	 Oklahoma	49,555	745	Oklahoma City, OK Metropolitan Statistical Area
Love	 Oklahoma	10,146	515	Ardmore, OK Micropolitan Statistical Area
McClain	 Oklahoma	41,662	957	Oklahoma City, OK Metropolitan Statistical Area
McCurtain	 Oklahoma	30,814	371	
McIntosh	 Oklahoma	18,941	656	
Major	 Oklahoma	7,782	570	
Marshall	 Oklahoma	15,312	1852	
Mayes	 Oklahoma	39,046	620	
Murray	 Oklahoma	13,904	418	
Muskogee	 Oklahoma	66,339	814	Muskogee, OK Micropolitan Statistical Area
Noble	 Oklahoma	10,924	732	
Nowata	 Oklahoma	9,320	565	
Okfuskee	 Oklahoma	11,310	625	
Oklahoma	 Oklahoma	796,292	709	Oklahoma City, OK Metropolitan Statistical Area
Okmulgee	 Oklahoma	36,706	697	Tulsa, OK Metropolitan Statistical Area
Osage	 Oklahoma	45,818	2251	Tulsa, OK Metropolitan Statistical Area
Ottawa	 Oklahoma	30,285	471	Miami, OK Micropolitan Statistical Area
Pawnee	 Oklahoma	15,553	570	Tulsa, OK Metropolitan Statistical Area
Payne	 Oklahoma	81,646	686	Stillwater, OK Micropolitan Statistical Area
Pittsburg	 Oklahoma	43,773	1306	McAlester, OK Micropolitan Statistical Area
Pontotoc	 Oklahoma	38,065	720	Ada, OK Micropolitan Statistical Area
Pottawatomie	 Oklahoma	72,454	788	Shawnee, OK Micropolitan Statistical Area
Pushmataha	 Oklahoma	10,812	1397	
Roger Mills	 Oklahoma	3,442	1142	
Rogers	 Oklahoma	95,240	675	Tulsa, OK Metropolitan Statistical Area
Seminole	 Oklahoma	23,556	632	
Sequoyah	 Oklahoma	39,281	674	Fort Smith, AR-OK Metropolitan Statistical Area
Stephens	 Oklahoma	42,848	877	Duncan, OK Micropolitan Statistical Area
Texas	 Oklahoma	21,384	2037	Guymon, OK Micropolitan Statistical Area
Tillman	 Oklahoma	6,968	872	
Tulsa	 Oklahoma	669,279	570	Tulsa, OK Metropolitan Statistical Area
Wagoner	 Oklahoma	80,981	563	Tulsa, OK Metropolitan Statistical Area
Washington	 Oklahoma	52,455	417	Bartlesville, OK Micropolitan Statistical Area
Washita	 Oklahoma	10,924	1004	
Woods	 Oklahoma	8,624	1287	
Woodward	 Oklahoma	20,470	1242	Woodward, OK Micropolitan Statistical Area
