Baker	 Oregon	16,668	3068	
Benton	 Oregon	95,184	676	Corvallis, OR Metropolitan Statistical Area
Clackamas	 Oregon	421,401	868	Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area
Clatsop	 Oregon	41,072	827	Astoria, OR Micropolitan Statistical Area
Columbia	 Oregon	52,589	657	Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area
Coos	 Oregon	64,929	1600	Coos Bay, OR Micropolitan Statistical Area
Crook	 Oregon	24,738	2980	Prineville, OR Micropolitan Statistical Area
Curry	 Oregon	23,446	1627	Brookings, OR Micropolitan Statistical Area
Deschutes	 Oregon	198,253	3018	Bend, OR Metropolitan Statistical Area
Douglas	 Oregon	111,201	5037	Roseburg, OR Micropolitan Statistical Area
Gilliam	 Oregon	1,995	1204	
Grant	 Oregon	7,233	4529	
Harney	 Oregon	7,495	10135	
Hood River	 Oregon	23,977	522	Hood River, OR Micropolitan Statistical Area
Jackson	 Oregon	223,259	2785	Medford, OR Metropolitan Statistical Area
Jefferson	 Oregon	24,502	1781	
Josephine	 Oregon	88,090	1640	Grants Pass, OR Metropolitan Statistical Area
Klamath	 Oregon	69,413	5945	Klamath Falls, OR Micropolitan Statistical Area
Lake	 Oregon	8,160	7940	
Lane	 Oregon	382,971	4554	Eugene, OR Metropolitan Statistical Area
Lincoln	 Oregon	50,395	980	Newport, OR Micropolitan Statistical Area
Linn	 Oregon	128,610	2291	Albany, OR Metropolitan Statistical Area
Malheur	 Oregon	31,571	9888	Ontario, OR-ID Micropolitan Statistical Area
Marion	 Oregon	345,920	1185	Salem, OR Metropolitan Statistical Area
Morrow	 Oregon	12,186	2033	Hermiston-Pendleton, OR Micropolitan Statistical Area
Multnomah	 Oregon	815,428	435	Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area
Polk	 Oregon	87,433	741	Salem, OR Metropolitan Statistical Area
Sherman	 Oregon	1,870	823	
Tillamook	 Oregon	27,390	1102	
Umatilla	 Oregon	80,075	3215	Hermiston-Pendleton, OR Micropolitan Statistical Area
Union	 Oregon	26,196	2037	La Grande, OR Micropolitan Statistical Area
Wallowa	 Oregon	7,391	3145	
Wasco	 Oregon	26,670	2381	The Dalles, OR Micropolitan Statistical Area
Washington	 Oregon	600,372	724	Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area
Wheeler	 Oregon	1,451	1715	
Yamhill	 Oregon	107,722	716	Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area
