Abbeville	 South Carolina	24,295	511	
Aiken	 South Carolina	168,808	1080	Augusta-Richmond County, GA-SC Metropolitan Statistical Area
Allendale	 South Carolina	8,039	413	
Anderson	 South Carolina	203,718	757	Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area
Bamberg	 South Carolina	13,311	395	
Barnwell	 South Carolina	20,589	557	
Beaufort	 South Carolina	187,117	576	Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area
Berkeley	 South Carolina	229,861	1228	Charleston-North Charleston, SC Metropolitan Statistical Area
Calhoun	 South Carolina	14,119	392	Columbia, SC Metropolitan Statistical Area
Charleston	 South Carolina	408,235	1358	Charleston-North Charleston, SC Metropolitan Statistical Area
Cherokee	 South Carolina	56,216	397	Gaffney, SC Micropolitan Statistical Area
Chester	 South Carolina	32,294	586	Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area
Chesterfield	 South Carolina	43,273	806	
Clarendon	 South Carolina	31,144	696	Sumter, SC Metropolitan Statistical Area
Colleton	 South Carolina	38,604	1133	
Darlington	 South Carolina	62,905	567	Florence, SC Metropolitan Statistical Area
Dillon	 South Carolina	28,292	407	
Dorchester	 South Carolina	161,540	577	Charleston-North Charleston, SC Metropolitan Statistical Area
Edgefield	 South Carolina	25,657	507	Augusta-Richmond County, GA-SC Metropolitan Statistical Area
Fairfield	 South Carolina	20,948	710	Columbia, SC Metropolitan Statistical Area
Florence	 South Carolina	137,059	804	Florence, SC Metropolitan Statistical Area
Georgetown	 South Carolina	63,404	813.55	Georgetown, SC Micropolitan Statistical Area
Greenville	 South Carolina	525,534	795	Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area
Greenwood	 South Carolina	69,351	463	Greenwood, SC Micropolitan Statistical Area
Hampton	 South Carolina	18,561	563	
Horry	 South Carolina	351,029	1255	Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area
Jasper	 South Carolina	28,791	700	Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area
Kershaw	 South Carolina	65,403	740	Columbia, SC Metropolitan Statistical Area
Lancaster	 South Carolina	96,016	555	Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area
Laurens	 South Carolina	67,539	724	Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area
Lee	 South Carolina	16,531	411	
Lexington	 South Carolina	293,991	758	Columbia, SC Metropolitan Statistical Area
McCormick	 South Carolina	9,526	494	
Marion	 South Carolina	29,183	485	
Marlboro	 South Carolina	26,667	394	Bennettsville, SC Micropolitan Statistical Area
Newberry	 South Carolina	37,719	647	Newberry, SC Micropolitan Statistical Area
Oconee	 South Carolina	78,607	674	Seneca, SC Micropolitan Statistical Area
Orangeburg	 South Carolina	84,223	1128	Orangeburg, SC Micropolitan Statistical Area
Pickens	 South Carolina	131,404	512	Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area
Richland	 South Carolina	416,147	772	Columbia, SC Metropolitan Statistical Area
Saluda	 South Carolina	18,862	462	Columbia, SC Metropolitan Statistical Area
Spartanburg	 South Carolina	327,997	819	Spartanburg, SC Metropolitan Statistical Area
Sumter	 South Carolina	105,556	682	Sumter, SC Metropolitan Statistical Area
Union	 South Carolina	27,244	516	Union, SC Micropolitan Statistical Area
Williamsburg	 South Carolina	31,026	937	
York	 South Carolina	282,090	696	Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area
