Aurora	 South Dakota	2,747	708	
Beadle	 South Dakota	19,149	1259	Huron, SD Micropolitan Statistical Area
Bennett	 South Dakota	3,381	1185	
Bon Homme	 South Dakota	7,003	563	
Brookings	 South Dakota	34,375	794	Brookings, SD Micropolitan Statistical Area
Brown	 South Dakota	38,301	1713	Aberdeen, SD Micropolitan Statistical Area
Brule	 South Dakota	5,247	819	
Buffalo	 South Dakota	1,948	471	
Butte	 South Dakota	10,243	2249	
Campbell	 South Dakota	1,377	736	
Charles Mix	 South Dakota	9,373	1098	
Clark	 South Dakota	3,837	958	
Clay	 South Dakota	14,967	412	Vermillion, SD Micropolitan Statistical Area
Codington	 South Dakota	28,325	688	Watertown, SD Micropolitan Statistical Area
Corson	 South Dakota	3,902	2473	
Custer	 South Dakota	8,318	1558	
Davison	 South Dakota	19,956	436	Mitchell, SD Micropolitan Statistical Area
Day	 South Dakota	5,449	1029	
Deuel	 South Dakota	4,295	624	
Dewey	 South Dakota	5,239	2303	
Douglas	 South Dakota	2,835	434	
Edmunds	 South Dakota	3,986	1146	Aberdeen, SD Micropolitan Statistical Area
Fall River	 South Dakota	6,973	1740	
Faulk	 South Dakota	2,125	1000	
Grant	 South Dakota	7,556	682	
Gregory	 South Dakota	3,994	1016	
Haakon	 South Dakota	1,872	1813	
Hamlin	 South Dakota	6,164	511	Watertown, SD Micropolitan Statistical Area
Hand	 South Dakota	3,145	1437	
Hanson	 South Dakota	3,461	435	Mitchell, SD Micropolitan Statistical Area
Harding	 South Dakota	1,311	2671	
Hughes	 South Dakota	17,765	741	Pierre, SD Micropolitan Statistical Area
Hutchinson	 South Dakota	7,427	813	
Hyde	 South Dakota	1,262	861	
Jackson	 South Dakota	2,806	1869	
Jerauld	 South Dakota	1,663	530	Huron, SD Micropolitan Statistical Area
Jones	 South Dakota	917	971	
Kingsbury	 South Dakota	5,187	838	
Lake	 South Dakota	11,059	563	
Lawrence	 South Dakota	25,768	800	Spearfish, SD Micropolitan Statistical Area
Lincoln	 South Dakota	65,161	578	Sioux Falls, SD Metropolitan Statistical Area
Lyman	 South Dakota	3,718	1640	
McCook	 South Dakota	5,682	839	Sioux Falls, SD Metropolitan Statistical Area
McPherson	 South Dakota	2,411	575	
Marshall	 South Dakota	4,306	1137	
Meade	 South Dakota	29,852	3471	Rapid City, SD Metropolitan Statistical Area
Mellette	 South Dakota	1,918	1307	
Miner	 South Dakota	2,298	570	
Minnehaha	 South Dakota	197,214	809	Sioux Falls, SD Metropolitan Statistical Area
Moody	 South Dakota	6,336	520	
Oglala Lakota	 South Dakota	13,672	2094	
Pennington	 South Dakota	109,222	2776	Rapid City, SD Metropolitan Statistical Area
Perkins	 South Dakota	2,835	2872	
Potter	 South Dakota	2,472	866	
Roberts	 South Dakota	10,280	1101	
Sanborn	 South Dakota	2,330	569	
Spink	 South Dakota	6,361	1504	
Stanley	 South Dakota	2,980	1443	Pierre, SD Micropolitan Statistical Area
Sully	 South Dakota	1,446	1007	
Todd	 South Dakota	9,319	1388	
Tripp	 South Dakota	5,624	1614	
Turner	 South Dakota	8,673	617	Sioux Falls, SD Metropolitan Statistical Area
Union	 South Dakota	16,811	460	Sioux City, IA-NE-SD Metropolitan Statistical Area
Walworth	 South Dakota	5,315	708	
Yankton	 South Dakota	23,310	522	Yankton, SD Micropolitan Statistical Area
Ziebach	 South Dakota	2,413	1962	
