Anderson	 Texas	57,922	1071	Palestine, TX Micropolitan Statistical Area
Andrews	 Texas	18,610	1501	Andrews, TX Micropolitan Statistical Area
Angelina	 Texas	86,395	802	Lufkin, TX Micropolitan Statistical Area
Aransas	 Texas	23,830	252	Rockport, TX Micropolitan Statistical Area
Archer	 Texas	8,560	910	Wichita Falls, TX Metropolitan Statistical Area
Armstrong	 Texas	1,848	914	Amarillo, TX Metropolitan Statistical Area
Atascosa	 Texas	48,981	1232	San Antonio-New Braunfels, TX Metropolitan Statistical Area
Austin	 Texas	30,167	653	Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area
Bailey	 Texas	6,904	827	
Bandera	 Texas	20,851	792	San Antonio-New Braunfels, TX Metropolitan Statistical Area
Bastrop	 Texas	97,216	888	Austin-Round Rock, TX Metropolitan Statistical Area
Baylor	 Texas	3,465	871	
Bee	 Texas	31,047	880	Beeville, TX Micropolitan Statistical Area
Bell	 Texas	370,647	1059	Killeen-Temple, TX Metropolitan Statistical Area
Bexar	 Texas	2,009,324	1247	San Antonio-New Braunfels, TX Metropolitan Statistical Area
Blanco	 Texas	11,374	711	
Borden	 Texas	631	899	
Bosque	 Texas	18,235	989	
Bowie	 Texas	92,893	888	Texarkana, TX-AR Metropolitan Statistical Area
Brazoria	 Texas	372,031	1387	Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area
Brazos	 Texas	233,849	586	College Station-Bryan, TX Metropolitan Statistical Area
Brewster	 Texas	9,546	6193	
Briscoe	 Texas	1,435	900	
Brooks	 Texas	7,076	943	
Brown	 Texas	38,095	944	Brownwood, TX Micropolitan Statistical Area
Burleson	 Texas	17,642	666	College Station-Bryan, TX Metropolitan Statistical Area
Burnet	 Texas	49,130	995	
Caldwell	 Texas	45,883	546	Austin-Round Rock, TX Metropolitan Statistical Area
Calhoun	 Texas	20,106	512	Port Lavaca, TX Micropolitan Statistical Area
Callahan	 Texas	13,708	899	Abilene, TX Metropolitan Statistical Area
Cameron	 Texas	421,017	906	Brownsville-Harlingen, TX Metropolitan Statistical Area
Camp	 Texas	12,464	1998	Mount Pleasant, TX Micropolitan Statistical Area
Carson	 Texas	5,807	923	Amarillo, TX Metropolitan Statistical Area
Cass	 Texas	28,454	938	
Castro	 Texas	7,371	898	
Chambers	 Texas	46,571	599	Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area
Cherokee	 Texas	50,412	1052	Jacksonville, TX Micropolitan Statistical Area
Childress	 Texas	6,664	710	
Clay	 Texas	10,218	1098	Wichita Falls, TX Metropolitan Statistical Area
Cochran	 Texas	2,547	775	
Coke	 Texas	3,285	899	
Coleman	 Texas	7,684	1273	
Collin	 Texas	1,064,465	848	Dallas–Fort Worth–Arlington, TX Metropolitan Statistical Area
Collingsworth	 Texas	2,652	919	
Colorado	 Texas	20,557	963	
Comal	 Texas	161,501	562	San Antonio-New Braunfels, TX Metropolitan Statistical Area
Comanche	 Texas	13,594	938	
Concho	 Texas	3,303	992	
Cooke	 Texas	41,668	94	Gainesville, TX Micropolitan Statistical Area
