Beaver	 Utah	7,072	83.32	
Box Elder	 Utah	57,666	6729	Ogden-Clearfield, UT Metropolitan Statistical Area
Cache	 Utah	133,154	31.31	Logan, UT-ID Metropolitan Statistical Area
Carbon	 Utah	20,412	2590	Price, UT Micropolitan Statistical Area
Daggett	 Utah	935	5746	
Davis	 Utah	362,679	1165	Ogden-Clearfield, UT Metropolitan Statistical Area
Duchesne	 Utah	19,596	1478	
Emery	 Utah	9,825	697	
Garfield	 Utah	5,083	299	
Grand	 Utah	9,669	3241	
Iron	 Utah	57,289	4462	Cedar City, UT Micropolitan Statistical Area
Juab	 Utah	11,786	5083	Provo-Orem, UT Metropolitan Statistical Area
Kane	 Utah	7,667	3672	
Millard	 Utah	12,975	3297	
Morgan	 Utah	12,295	3392	Ogden-Clearfield, UT Metropolitan Statistical Area
Piute	 Utah	1,438	3990	
Rich	 Utah	2,510	6572	
Salt Lake	 Utah	1,185,238	609	Salt Lake City, UT Metropolitan Statistical Area
San Juan	 Utah	14,518	758	
Sanpete	 Utah	28,437	1029	
Sevier	 Utah	21,522	742	
Summit	 Utah	42,357	7820	Heber, UT Micropolitan Statistical Area
Tooele	 Utah	72,698	1590	Salt Lake City, UT Metropolitan Statistical Area
Uintah	 Utah	35,620	1911	Vernal, UT Micropolitan Statistical Area
Utah	 Utah	659,399	1872	Provo-Orem, UT Metropolitan Statistical Area
Wasatch	 Utah	34,788	6941	Heber, UT Micropolitan Statistical Area
Washington	 Utah	180,279	4480	St. George, UT Metropolitan Statistical Area
Wayne	 Utah	2,486	2003	
Weber	 Utah	262,223	1176	Ogden-Clearfield, UT Metropolitan Statistical Area
