Accomack	 Virginia	33,413	455	
Albemarle	 Virginia	112,395	723	Charlottesville, VA Metropolitan Statistical Area
Alleghany	 Virginia	15,223	446	
Amelia	 Virginia	13,265	357	Richmond, VA Metropolitan Statistical Area
Amherst	 Virginia	31,307	475	Lynchburg, VA Metropolitan Statistical Area
Appomattox	 Virginia	16,119	334	Lynchburg, VA Metropolitan Statistical Area
Arlington	 Virginia	238,643	26	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Augusta	 Virginia	77,487	971	Staunton-Waynesboro, VA Metropolitan Statistical Area
Bath	 Virginia	4,209	532	
Bedford[z]	 Virginia	79,462	755	Lynchburg, VA Metropolitan Statistical Area
Bland	 Virginia	6,270	359	Bluefield, WV-VA Micropolitan Statistical Area
Botetourt	 Virginia	33,396	543	Roanoke, VA Metropolitan Statistical Area
Brunswick	 Virginia	15,824	566	
Buchanan	 Virginia	20,355	504	
Buckingham	 Virginia	16,824	581	
Campbell	 Virginia	55,696	504	Lynchburg, VA Metropolitan Statistical Area
Caroline	 Virginia	30,887	533	
Carroll	 Virginia	29,155	476	
Charles City	 Virginia	6,773	182	Richmond, VA Metropolitan Statistical Area
Charlotte	 Virginia	11,529	475	
Chesterfield	 Virginia	364,548	426	Richmond, VA Metropolitan Statistical Area
Clarke	 Virginia	14,783	177	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Craig	 Virginia	4,892	330	Roanoke, VA Metropolitan Statistical Area
Culpeper	 Virginia	52,552	381	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Cumberland	 Virginia	9,675	298	
Dickenson	 Virginia	14,124	333	
Dinwiddie	 Virginia	27,947	504	Richmond, VA Metropolitan Statistical Area
Essex	 Virginia	10,599	258	
Fairfax	 Virginia	1,150,309	396	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Fauquier	 Virginia	72,972	650	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Floyd	 Virginia	15,476	382	
Fluvanna	 Virginia	27,249	287	Charlottesville, VA Metropolitan Statistical Area
Franklin	 Virginia	54,477	692	Roanoke, VA Metropolitan Statistical Area
Frederick	 Virginia	91,419	415	Winchester, VA-WV Metropolitan Statistical Area
Giles	 Virginia	16,787	358	Blacksburg-Christiansburg, VA Metropolitan Statistical Area
Gloucester	 Virginia	38,711	217	Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area
Goochland	 Virginia	24,727	284	Richmond, VA Metropolitan Statistical Area
Grayson	 Virginia	15,333	443	
Greene	 Virginia	20,552	157	Charlottesville, VA Metropolitan Statistical Area
Greensville	 Virginia	11,391	296	
Halifax	 Virginia	34,022	814	
Hanover	 Virginia	109,979	473	Richmond, VA Metropolitan Statistical Area
Henrico	 Virginia	334,389	238	Richmond, VA Metropolitan Statistical Area
Henry	 Virginia	50,948	382	Martinsville, VA Micropolitan Statistical Area
Highland	 Virginia	2,232	416	
Isle of Wight	 Virginia	38,606	316	Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area
James City	 Virginia	78,254	143	Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area
King and Queen	 Virginia	6,608	316	Richmond, VA Metropolitan Statistical Area
King George	 Virginia	26,723	180	
King William	 Virginia	17,810	275	Richmond, VA Metropolitan Statistical Area
Lancaster	 Virginia	10,919	133	
Lee	 Virginia	22,173	437	
Loudoun	 Virginia	420,959	520	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Louisa	 Virginia	37,596	498	
Lunenburg	 Virginia	11,936	432	
Madison	 Virginia	13,837	322	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Mathews	 Virginia	8,533	86	Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area
Mecklenburg	 Virginia	30,319	624	
Middlesex	 Virginia	10,625	130	
Montgomery	 Virginia	99,721	388	Blacksburg-Christiansburg, VA Metropolitan Statistical Area
Nelson	 Virginia	14,775	472	Charlottesville, VA Metropolitan Statistical Area
New Kent	 Virginia	22,945	210	Richmond, VA Metropolitan Statistical Area
Northampton	 Virginia	12,282	207	
Northumberland	 Virginia	11,839	192	
Nottoway	 Virginia	15,642	315	
Orange	 Virginia	36,254	342	
Page	 Virginia	23,709	311	
Patrick	 Virginia	17,608	483	
Pittsylvania	 Virginia	60,501	978	Danville, VA Micropolitan Statistical Area
Powhatan	 Virginia	30,333	261	Richmond, VA Metropolitan Statistical Area
Prince Edward	 Virginia	21,849	353	
Prince George	 Virginia	43,010	266	Richmond, VA Metropolitan Statistical Area
Prince William	 Virginia	482,204	338	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Pulaski	 Virginia	33,800	321	Blacksburg-Christiansburg, VA Metropolitan Statistical Area
Rappahannock	 Virginia	7,348	267	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Richmond	 Virginia	8,923	192	
Roanoke	 Virginia	96,929	251	Roanoke, VA Metropolitan Statistical Area
Rockbridge	 Virginia	22,650	600	
Rockingham	 Virginia	83,757	851	Harrisonburg, VA Metropolitan Statistical Area
Russell	 Virginia	25,781	475	
Scott	 Virginia	21,576	537	Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area
