Addison	 Vermont	37,363	2426	
Bennington	 Vermont	37,347	2461	Bennington, VT Micropolitan Statistical Area
Caledonia	 Vermont	30,233	576	
Chittenden	 Vermont	168,323	770	Burlington-South Burlington, VT Metropolitan Statistical Area
Essex	 Vermont	5,920	676	
Franklin	 Vermont	49,946	651	Burlington-South Burlington, VT Metropolitan Statistical Area
Grand Isle	 Vermont	7,293	539	Burlington-South Burlington, VT Metropolitan Statistical Area
Lamoille	 Vermont	25,945	665	
Orange	 Vermont	29,277	637	Lebanon, NH-VT Micropolitan Statistical Area
Orleans	 Vermont	27,393	83	
Rutland	 Vermont	60,572	461	Rutland, VT Micropolitan Statistical Area
Washington	 Vermont	59,807	689	Barre, VT Micropolitan Statistical Area
Windham	 Vermont	45,905	697	
Windsor	 Vermont	57,753	932	Lebanon, NH-VT Micropolitan Statistical Area
