Asotin	Washington (state) Washington	22,285	636	Lewiston, ID-WA Metropolitan Statistical Area
Benton	Washington (state) Washington	206,873	1700	Kennewick-Richland, WA Metropolitan Statistical Area
Chelan	Washington (state) Washington	79,074	2920	Wenatchee, WA Metropolitan Statistical Area
Clallam	Washington (state) Washington	77,155	1738	Port Angeles, WA Micropolitan Statistical Area
Clark	Washington (state) Washington	503,311	629	Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area
Columbia	Washington (state) Washington	3,952	869	
Cowlitz	Washington (state) Washington	110,730	1139	Longview, WA Metropolitan Statistical Area
Douglas	Washington (state) Washington	42,938	1819	Wenatchee, WA Metropolitan Statistical Area
Ferry	Washington (state) Washington	7,178	2204	
Franklin	Washington (state) Washington	96,749	1242	Kennewick-Richland, WA Metropolitan Statistical Area
Garfield	Washington (state) Washington	2,286	710	
Grant	Washington (state) Washington	99,123	2680	Moses Lake, WA Micropolitan Statistical Area
Grays Harbor	Washington (state) Washington	75,636	1902	Aberdeen, WA Micropolitan Statistical Area
Island	Washington (state) Washington	86,857	209	Oak Harbor, WA Micropolitan Statistical Area
Jefferson	Washington (state) Washington	32,977	1804	
King	Washington (state) Washington	2,269,675	2115	Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area
Kitsap	Washington (state) Washington	275,611	395	Bremerton-Silverdale, WA Metropolitan Statistical Area
Kittitas	Washington (state) Washington	44,337	2297	Ellensburg, WA Micropolitan Statistical Area
Klickitat	Washington (state) Washington	22,735	1872	
Lewis	Washington (state) Washington	82,149	2403	Centralia, WA Micropolitan Statistical Area
Lincoln	Washington (state) Washington	10,876	2311	
Mason	Washington (state) Washington	65,726	959	Shelton, WA Micropolitan Statistical Area
Okanogan	Washington (state) Washington	42,104	5268	
Pacific	Washington (state) Washington	23,365	933	
Pend Oreille	Washington (state) Washington	13,401	1400	
Pierce	Washington (state) Washington	921,130	1670	Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area
San Juan	Washington (state) Washington	17,788	174	
Skagit	Washington (state) Washington	129,523	1731	Mount Vernon-Anacortes, WA Metropolitan Statistical Area
Skamania	Washington (state) Washington	12,036	1656	Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area
Snohomish	Washington (state) Washington	827,957	2087	Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area
Spokane	Washington (state) Washington	539,339	1764	Spokane-Spokane Valley, WA Metropolitan Statistical Area
Stevens	Washington (state) Washington	46,445	2478	Spokane-Spokane Valley, WA Metropolitan Statistical Area
Thurston	Washington (state) Washington	294,793	722	Olympia-Tumwater, WA Metropolitan Statistical Area
Wahkiakum	Washington (state) Washington	4,422	264	
Walla Walla	Washington (state) Washington	62,584	1270	Walla Walla, WA Metropolitan Statistical Area
Whatcom	Washington (state) Washington	226,847	2107	Bellingham, WA Metropolitan Statistical Area
Whitman	Washington (state) Washington	47,973	2159	Pullman, WA Micropolitan Statistical Area
Yakima	Washington (state) Washington	256,728	4296	Yakima, WA Metropolitan Statistical Area
