Adams	 Wisconsin	20,654	645.65	
Ashland	 Wisconsin	16,027	1045.04	
Barron	 Wisconsin	46,711	862.71	
Bayfield	 Wisconsin	16,220	1477.86	
Brown	 Wisconsin	268,740	529.71	Green Bay, WI Metropolitan Statistical Area
Buffalo	 Wisconsin	13,317	671.64	
Burnett	 Wisconsin	16,526	821.85	
Calumet	 Wisconsin	52,442	318.24	Appleton, Wisconsin metropolitan area
Chippewa	 Wisconsin	66,297	1008.37	Eau Claire, WI Metropolitan Statistical Area
Clark	 Wisconsin	34,659	1209.82	
Columbia	 Wisconsin	58,490	765.53	Madison, WI Metropolitan Statistical Area
Crawford	 Wisconsin	16,113	570.66	
Dane	 Wisconsin	561,504	1197.24	Madison, WI Metropolitan Statistical Area
Dodge	 Wisconsin	89,396	875.63	Beaver Dam, WI Micropolitan Statistical Area
Door	 Wisconsin	30,066	481.98	
Douglas	 Wisconsin	44,295	1304.14	Duluth, MN-WI Metropolitan Statistical Area
Dunn	 Wisconsin	45,440	850.11	Menomonie, WI Micropolitan Statistical Area
Eau Claire	 Wisconsin	105,710	637.98	Eau Claire, WI Metropolitan Statistical Area
Florence	 Wisconsin	4,558	488.2	Iron Mountain, MI-WI Micropolitan Statistical Area
Fond du Lac	 Wisconsin	104,154	719.55	Fond du Lac, WI Metropolitan Statistical Area
Forest	 Wisconsin	9,179	1014.07	
Grant	 Wisconsin	51,938	1146.85	Platteville, WI Micropolitan Statistical Area
Green	 Wisconsin	37,093	583.96	Madison, WI Metropolitan Statistical Area
Green Lake	 Wisconsin	19,018	349.44	
Iowa	 Wisconsin	23,709	762.58	Madison, WI Metropolitan Statistical Area
Iron	 Wisconsin	6,137	758.17	
Jackson	 Wisconsin	21,145	987.72	
Jefferson	 Wisconsin	84,900	556.47	Watertown-Fort Atkinson, WI Micropolitan Statistical Area
Juneau	 Wisconsin	26,718	766.93	
Kenosha	 Wisconsin	169,151	271.99	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
Kewaunee	 Wisconsin	20,563	342.52	Green Bay, WI Metropolitan Statistical Area
La Crosse	 Wisconsin	120,784	451.69	La Crosse-Onalaska, WI-MN Metropolitan Statistical Area
Lafayette	 Wisconsin	16,611	633.59	
Langlade	 Wisconsin	19,491	870.64	
Lincoln	 Wisconsin	28,415	878.97	Wausau-Weston, WI Metropolitan Statistical Area
Manitowoc	 Wisconsin	81,359	589.08	Manitowoc, WI Micropolitan Statistical Area
Marathon	 Wisconsin	138,013	1544.98	Wausau-Weston, WI Metropolitan Statistical Area
Marinette	 Wisconsin	41,872	1399.35	Marinette, WI-MI Micropolitan Statistical Area
Marquette	 Wisconsin	15,592	455.6	
Menominee	 Wisconsin	4,255	357.61	Shawano, WI Micropolitan Statistical Area
Milwaukee	 Wisconsin	939,489	241.4	Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area
Monroe	 Wisconsin	46,274	900.78	
Oconto	 Wisconsin	38,965	997.99	Green Bay, WI Metropolitan Statistical Area
Oneida	 Wisconsin	37,845	1112.97	
Outagamie	 Wisconsin	190,705	637.52	Appleton, Wisconsin metropolitan area
Ozaukee	 Wisconsin	91,503	233.08	Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area
Pepin	 Wisconsin	7,318	231.98	
Pierce	 Wisconsin	42,212	573.75	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Polk	 Wisconsin	44,977	913.96	
Portage	 Wisconsin	70,377	800.68	Stevens Point, WI Micropolitan Statistical Area
Price	 Wisconsin	14,054	1254.38	
Racine	 Wisconsin	197,727	332.5	Racine, WI Metropolitan Statistical Area
Richland	 Wisconsin	17,304	586.15	
Rock	 Wisconsin	163,687	718.14	Janesville-Beloit, WI Metropolitan Statistical Area
Rusk	 Wisconsin	14,188	913.59	
St. Croix	 Wisconsin	93,536	830.9	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Sauk	 Wisconsin	65,763	1257.31	Baraboo, WI Micropolitan Statistical Area
Sawyer	 Wisconsin	18,074	893.06	
Shawano	 Wisconsin	40,881	511.27	Shawano, WI Micropolitan Statistical Area
Sheboygan	 Wisconsin	118,034	722.33	Sheboygan, WI Metropolitan Statistical Area
Taylor	 Wisconsin	19,913	974.88	
Trempealeau	 Wisconsin	30,760	732.97	
Vernon	 Wisconsin	30,714	791.58	
Vilas	 Wisconsin	23,047	856.6	
Walworth	 Wisconsin	106,478	555.13	Whitewater-Elkhorn, WI Micropolitan Statistical Area
Washburn	 Wisconsin	16,623	797.11	
Washington	 Wisconsin	136,761	430.7	Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area
Waukesha	 Wisconsin	406,978	549.57	Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area
Waupaca	 Wisconsin	51,812	747.71	
Waushara	 Wisconsin	24,520	626.15	
Winnebago	 Wisconsin	171,730	434.49	Oshkosh-Neenah, WI Metropolitan Statistical Area
Wood	 Wisconsin	74,207	793.12	Wisconsin Rapids-Marshfield, WI Micropolitan Statistical Area
