Barbour	 West Virginia	15,465	341	
Berkeley	 West Virginia	122,076	321	Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area
Boone	 West Virginia	21,809	503	Charleston, WV Metropolitan Statistical Area
Braxton	 West Virginia	12,447	514	
Brooke	 West Virginia	22,559	89	Weirton-Steubenville, WV-OH Metropolitan Statistical Area
Cabell	 West Virginia	94,350	282	Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area
Calhoun	 West Virginia	6,229	281	
Clay	 West Virginia	8,051	342	Charleston, WV Metropolitan Statistical Area
Doddridge	 West Virginia	7,808	320	Clarksburg, WV Micropolitan Statistical Area
Fayette	 West Virginia	40,488	664	Beckley, WV Metropolitan Statistical Area
Gilmer	 West Virginia	7,408	340	
Grant	 West Virginia	10,976	477	
Greenbrier	 West Virginia	32,977	1021	
Hampshire	 West Virginia	23,093	642	Winchester, VA-WV Metropolitan Statistical Area
Hancock	 West Virginia	29,095	83	Weirton-Steubenville, WV-OH Metropolitan Statistical Area
Hardy	 West Virginia	14,299	583	
Harrison	 West Virginia	65,921	416	Clarksburg, WV Micropolitan Statistical Area
Jackson	 West Virginia	27,791	466	Charleston, WV Metropolitan Statistical Area
Jefferson	 West Virginia	57,701	210	Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
Kanawha	 West Virginia	180,745	903	Charleston, WV Metropolitan Statistical Area
Lewis	 West Virginia	17,033	389	
Lincoln	 West Virginia	20,463	438	Charleston, WV Metropolitan Statistical Area
Logan	 West Virginia	32,567	454	Logan, WV Micropolitan Statistical Area
McDowell	 West Virginia	19,111	310	
Marion	 West Virginia	56,205	307	Fairmont, WV Micropolitan Statistical Area
Marshall	 West Virginia	30,591	432	Wheeling, WV-OH Metropolitan Statistical Area
Mason	 West Virginia	25,453	535	Point Pleasant, WV-OH Micropolitan Statistical Area
Mercer	 West Virginia	59,664	420	Bluefield, WV-VA Micropolitan Statistical Area
Mineral	 West Virginia	26,938	328	Cumberland, MD-WV Metropolitan Statistical Area
Mingo	 West Virginia	23,568	423	
Monongalia	 West Virginia	105,822	361	Morgantown, WV Metropolitan Statistical Area
Monroe	 West Virginia	12,376	473	
Morgan	 West Virginia	17,063	229	Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area
Nicholas	 West Virginia	24,604	649	
Ohio	 West Virginia	42,425	106	Wheeling, WV-OH Metropolitan Statistical Area
Pendleton	 West Virginia	6,143	698	
Pleasants	 West Virginia	7,653	131	
Pocahontas	 West Virginia	7,869	940	
Preston	 West Virginia	34,216	648	Morgantown, WV Metropolitan Statistical Area
Putnam	 West Virginia	57,440	346	Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area
Raleigh	 West Virginia	74,591	607	Beckley, WV Metropolitan Statistical Area
Randolph	 West Virginia	27,932	1040	Elkins, WV Micropolitan Statistical Area
Ritchie	 West Virginia	8,444	454	
Roane	 West Virginia	14,028	484	
Summers	 West Virginia	11,959	361	
Taylor	 West Virginia	16,705	173	Clarksburg, WV Micropolitan Statistical Area
Tucker	 West Virginia	6,762	419	
Tyler	 West Virginia	8,313	258	
Upshur	 West Virginia	23,816	355	
Wayne	 West Virginia	38,982	506	Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area
Webster	 West Virginia	8,378	556	
Wetzel	 West Virginia	14,442	359	
Wirt	 West Virginia	5,194	233	Parkersburg-Vienna, WV Metropolitan Statistical Area
Wood	 West Virginia	84,296	367	Parkersburg-Vienna, WV Metropolitan Statistical Area
Wyoming	 West Virginia	21,382	501	
