Albany	 Wyoming	37,066	4274	Laramie, WY Micropolitan Statistical Area
Big Horn	 Wyoming	11,521	3137	
Campbell	 Wyoming	47,026	4797	Gillette, WY Micropolitan Statistical Area
Carbon	 Wyoming	14,537	7897	
Converse	 Wyoming	13,751	4255	
Crook	 Wyoming	7,181	2859	Gillette, WY Micropolitan Statistical Area
Fremont	 Wyoming	39,234	9183	Riverton, WY Micropolitan Statistical Area
Goshen	 Wyoming	12,498	2225	
Hot Springs	 Wyoming	4,621	2004	
Johnson	 Wyoming	8,447	4166	
Laramie	 Wyoming	100,512	2686	Cheyenne, WY Metropolitan Statistical Area
Lincoln	 Wyoming	19,581	4069	
Natrona	 Wyoming	79,955	5340	Casper, WY Metropolitan Statistical Area
Niobrara	 Wyoming	2,467	2626	
Park	 Wyoming	29,624	6943	
Platte	 Wyoming	8,605	2085	
Sheridan	 Wyoming	30,921	2523	Sheridan, WY Micropolitan Statistical Area
Sublette	 Wyoming	8,728	4882	
Sweetwater	 Wyoming	42,272	10426	Rock Springs, WY Micropolitan Statistical Area
Teton	 Wyoming	23,331	4008	Jackson, WY-ID Micropolitan Statistical Area
Uinta	 Wyoming	20,450	2082	Evanston, WY Micropolitan Statistical Area
Washakie	 Wyoming	7,685	2240	
Weston	 Wyoming	6,838	2398	Gillette, WY Micropolitan Statistical Area
